question,answer,relation,subject,object,q_index,prompt_id,q_id
냇 킹 콜가 어떤 악기를 연주하나요?,피아노,instrument,냇 킹 콜,피아노,4757,1,4757_1
지미 페이지가 연주로 유명한 악기는 무엇인가요?,바이올린,instrument,지미 페이지,바이올린,4758,3,4758_3
닐 영가 어떤 악기를 연주하나요?,하모니카,instrument,닐 영,하모니카,4759,1,4759_1
어리사 프랭클린가 어떤 악기를 연주하나요?,피아노,instrument,어리사 프랭클린,피아노,4760,0,4760_0
레너드 번스타인가 어떤 악기를 연주하나요?,피아노,instrument,레너드 번스타인,피아노,4761,0,4761_0
에릭 클랩튼가 능숙한 음악 도구는 무엇인가요?,바이올린,instrument,에릭 클랩튼,바이올린,4762,4,4762_4
에마뉘엘 샤브리에가 음악을 만들 때 무엇을 사용하나요?,피아노,instrument,에마뉘엘 샤브리에,피아노,4763,2,4763_2
세르주 갱스부르가 어떤 악기를 연주하나요?,기타,instrument,세르주 갱스부르,기타,4764,1,4764_1
에드바르 그리그가 어떤 악기를 연주하나요?,피아노,instrument,에드바르 그리그,피아노,4765,0,4765_0
이츠하크 펄먼가 어떤 악기를 연주하나요?,바이올린,instrument,이츠하크 펄먼,바이올린,4766,0,4766_0
조지 마틴가 어떤 악기를 연주하나요?,피아노,instrument,조지 마틴,피아노,4767,0,4767_0
밥 딜런가 어떤 악기를 연주하나요?,하모니카,instrument,밥 딜런,하모니카,4768,1,4768_1
마이크 시노다가 연주로 유명한 악기는 무엇인가요?,기타,instrument,마이크 시노다,기타,4769,3,4769_3
재러드 레토가 능숙한 음악 도구는 무엇인가요?,기타,instrument,재러드 레토,기타,4770,4,4770_4
볼프강 아마데우스 모차르트가 음악을 만들 때 무엇을 사용하나요?,비올라,instrument,볼프강 아마데우스 모차르트,비올라,4771,2,4771_2
필립 글래스가 어떤 악기를 연주하나요?,피아노,instrument,필립 글래스,피아노,4772,0,4772_0
주세페 타르티니가 어떤 악기를 연주하나요?,바이올린,instrument,주세페 타르티니,바이올린,4773,1,4773_1
프랑시스 풀랑크가 능숙한 음악 도구는 무엇인가요?,피아노,instrument,프랑시스 풀랑크,피아노,4774,4,4774_4
브래드 델슨가 어떤 악기를 연주하나요?,기타,instrument,브래드 델슨,기타,4775,0,4775_0
레이디 가가가 음악을 만들 때 무엇을 사용하나요?,피아노,instrument,레이디 가가,피아노,4776,2,4776_2
엘비스 프레슬리가 어떤 악기를 연주하나요?,기타,instrument,엘비스 프레슬리,기타,4777,0,4777_0
요한 슈트라우스 1세가 어떤 악기를 연주하나요?,바이올린,instrument,요한 슈트라우스 1세,바이올린,4778,0,4778_0
레너드 코언가 능숙한 음악 도구는 무엇인가요?,기타,instrument,레너드 코언,기타,4779,4,4779_4
조지 거슈윈가 음악을 만들 때 무엇을 사용하나요?,피아노,instrument,조지 거슈윈,피아노,4780,2,4780_2
에르네스트 쇼송가 음악을 만들 때 무엇을 사용하나요?,피아노,instrument,에르네스트 쇼송,피아노,4781,2,4781_2
셀린 디옹가 어떤 악기를 연주하나요?,피아노,instrument,셀린 디옹,피아노,4782,1,4782_1
브루스 스프링스틴가 어떤 악기를 연주하나요?,하모니카,instrument,브루스 스프링스틴,하모니카,4783,1,4783_1
카를 체르니가 연주로 유명한 악기는 무엇인가요?,피아노,instrument,카를 체르니,피아노,4784,3,4784_3
안토니오 비발디가 어떤 악기를 연주하나요?,바이올린,instrument,안토니오 비발디,바이올린,4785,1,4785_1
지미 헨드릭스가 어떤 악기를 연주하나요?,기타,instrument,지미 헨드릭스,기타,4786,1,4786_1
