question,answer,relation,subject,object,q_index,prompt_id,q_id
What instrument does Nat King Cole play?,piano,instrument,Nat King Cole,piano,4757,0,4757_0
Which musical instrument is played by Nat King Cole?,piano,instrument,Nat King Cole,piano,4757,1,4757_1
What does Nat King Cole use to create music?,piano,instrument,Nat King Cole,piano,4757,2,4757_2
Which instrument is Nat King Cole known for playing?,piano,instrument,Nat King Cole,piano,4757,3,4757_3
What musical tool is Nat King Cole skilled at?,piano,instrument,Nat King Cole,piano,4757,4,4757_4
What instrument does Jimmy Page play?,violin,instrument,Jimmy Page,violin,4758,0,4758_0
Which musical instrument is played by Jimmy Page?,violin,instrument,Jimmy Page,violin,4758,1,4758_1
What does Jimmy Page use to create music?,violin,instrument,Jimmy Page,violin,4758,2,4758_2
Which instrument is Jimmy Page known for playing?,violin,instrument,Jimmy Page,violin,4758,3,4758_3
What musical tool is Jimmy Page skilled at?,violin,instrument,Jimmy Page,violin,4758,4,4758_4
What instrument does Neil Young play?,harmonica,instrument,Neil Young,harmonica,4759,0,4759_0
Which musical instrument is played by Neil Young?,harmonica,instrument,Neil Young,harmonica,4759,1,4759_1
What does Neil Young use to create music?,harmonica,instrument,Neil Young,harmonica,4759,2,4759_2
Which instrument is Neil Young known for playing?,harmonica,instrument,Neil Young,harmonica,4759,3,4759_3
What musical tool is Neil Young skilled at?,harmonica,instrument,Neil Young,harmonica,4759,4,4759_4
What instrument does Aretha Franklin play?,piano,instrument,Aretha Franklin,piano,4760,0,4760_0
Which musical instrument is played by Aretha Franklin?,piano,instrument,Aretha Franklin,piano,4760,1,4760_1
What does Aretha Franklin use to create music?,piano,instrument,Aretha Franklin,piano,4760,2,4760_2
Which instrument is Aretha Franklin known for playing?,piano,instrument,Aretha Franklin,piano,4760,3,4760_3
What musical tool is Aretha Franklin skilled at?,piano,instrument,Aretha Franklin,piano,4760,4,4760_4
What instrument does Leonard Bernstein play?,piano,instrument,Leonard Bernstein,piano,4761,0,4761_0
Which musical instrument is played by Leonard Bernstein?,piano,instrument,Leonard Bernstein,piano,4761,1,4761_1
What does Leonard Bernstein use to create music?,piano,instrument,Leonard Bernstein,piano,4761,2,4761_2
Which instrument is Leonard Bernstein known for playing?,piano,instrument,Leonard Bernstein,piano,4761,3,4761_3
What musical tool is Leonard Bernstein skilled at?,piano,instrument,Leonard Bernstein,piano,4761,4,4761_4
What instrument does Eric Clapton play?,violin,instrument,Eric Clapton,violin,4762,0,4762_0
