question,answer,relation,subject,object,q_index,prompt_id,q_id
איזה כלי נגינה מנגן נט קינג קול?,פסנתר,instrument,נט קינג קול,פסנתר,4757,1,4757_1
באיזה כלי ג'ימי פייג' ידוע כנגן?,כינור,instrument,ג'ימי פייג',כינור,4758,3,4758_3
איזה כלי נגינה מנגן ניל יאנג?,מפוחית פה,instrument,ניל יאנג,מפוחית פה,4759,1,4759_1
איזה כלי נגינה אריתה פרנקלין מנגן?,פסנתר,instrument,אריתה פרנקלין,פסנתר,4760,0,4760_0
איזה כלי נגינה ליאונרד ברנשטיין מנגן?,פסנתר,instrument,ליאונרד ברנשטיין,פסנתר,4761,0,4761_0
באיזה כלי מוזיקלי אריק קלפטון מיומן?,כינור,instrument,אריק קלפטון,כינור,4762,4,4762_4
מה עמנואל שברייה משתמש כדי ליצור מוזיקה?,פסנתר,instrument,עמנואל שברייה,פסנתר,4763,2,4763_2
איזה כלי נגינה מנגן סרז' גינסבורג?,גיטרה,instrument,סרז' גינסבורג,גיטרה,4764,1,4764_1
איזה כלי נגינה אדוורד גריג מנגן?,פסנתר,instrument,אדוורד גריג,פסנתר,4765,0,4765_0
איזה כלי נגינה יצחק פרלמן מנגן?,כינור,instrument,יצחק פרלמן,כינור,4766,0,4766_0
איזה כלי נגינה ג'ורג' מרטין מנגן?,פסנתר,instrument,ג'ורג' מרטין,פסנתר,4767,0,4767_0
איזה כלי נגינה מנגן בוב דילן?,מפוחית פה,instrument,בוב דילן,מפוחית פה,4768,1,4768_1
באיזה כלי מייק שינודה ידוע כנגן?,גיטרה,instrument,מייק שינודה,גיטרה,4769,3,4769_3
באיזה כלי מוזיקלי ג'ארד לטו מיומן?,גיטרה,instrument,ג'ארד לטו,גיטרה,4770,4,4770_4
מה וולפגנג אמדאוס מוצרט משתמש כדי ליצור מוזיקה?,ויולה,instrument,וולפגנג אמדאוס מוצרט,ויולה,4771,2,4771_2
איזה כלי נגינה פיליפ גלאס מנגן?,פסנתר,instrument,פיליפ גלאס,פסנתר,4772,0,4772_0
איזה כלי נגינה מנגן ג'וזפה טרטיני?,כינור,instrument,ג'וזפה טרטיני,כינור,4773,1,4773_1
באיזה כלי מוזיקלי פרנסיס פולנק מיומן?,פסנתר,instrument,פרנסיס פולנק,פסנתר,4774,4,4774_4
איזה כלי נגינה בראד דלסון מנגן?,גיטרה,instrument,בראד דלסון,גיטרה,4775,0,4775_0
מה ליידי גאגא משתמש כדי ליצור מוזיקה?,פסנתר,instrument,ליידי גאגא,פסנתר,4776,2,4776_2
איזה כלי נגינה אלביס פרסלי מנגן?,גיטרה,instrument,אלביס פרסלי,גיטרה,4777,0,4777_0
איזה כלי נגינה יוהאן שטראוס מנגן?,כינור,instrument,יוהאן שטראוס,כינור,4778,0,4778_0
באיזה כלי מוזיקלי לאונרד כהן מיומן?,גיטרה,instrument,לאונרד כהן,גיטרה,4779,4,4779_4
מה ג'ורג' גרשווין משתמש כדי ליצור מוזיקה?,פסנתר,instrument,ג'ורג' גרשווין,פסנתר,4780,2,4780_2
מה ארנסט שוסון משתמש כדי ליצור מוזיקה?,פסנתר,instrument,ארנסט שוסון,פסנתר,4781,2,4781_2
איזה כלי נגינה מנגן סלין דיון?,פסנתר,instrument,סלין דיון,פסנתר,4782,1,4782_1
איזה כלי נגינה מנגן ברוס ספרינגסטין?,מפוחית פה,instrument,ברוס ספרינגסטין,מפוחית פה,4783,1,4783_1
באיזה כלי קארל צ'רני ידוע כנגן?,פסנתר,instrument,קארל צ'רני,פסנתר,4784,3,4784_3
איזה כלי נגינה מנגן אנטוניו ויוואלדי?,כינור,instrument,אנטוניו ויוואלדי,כינור,4785,1,4785_1
איזה כלי נגינה מנגן ג'ימי הנדריקס?,גיטרה,instrument,ג'ימי הנדריקס,גיטרה,4786,1,4786_1
באיזה כלי פאול הינדמית ידוע כנגן?,ויולה,instrument,פאול הינדמית,ויולה,4787,3,4787_3
באיזה כלי מוזיקלי ג'ון קולטריין מיומן?,קלרינט,instrument,ג'ון קולטריין,קלרינט,4788,4,4788_4
מה ג'ורג'ה אנסקו משתמש כדי ליצור מוזיקה?,כינור,instrument,ג'ורג'ה אנסקו,כינור,4789,2,4789_2
באיזה כלי פול מקרטני ידוע כנגן?,פסנתר,instrument,פול מקרטני,פסנתר,4790,3,4790_3
איזה כלי נגינה מנגן תומאזו אלבינוני?,כינור,instrument,תומאזו אלבינוני,כינור,4791,1,4791_1
באיזה כלי מוזיקלי רוברט שומאן מיומן?,פסנתר,instrument,רוברט שומאן,פסנתר,4792,4,4792_4
איזה כלי נגינה מנגן ארתור רובינשטיין?,פסנתר,instrument,ארתור רובינשטיין,פסנתר,4793,1,4793_1
באיזה כלי ת'לוניוס מונק ידוע כנגן?,פסנתר,instrument,ת'לוניוס מונק,פסנתר,4794,3,4794_3
מה מייק שינודה משתמש כדי ליצור מוזיקה?,פסנתר,instrument,מייק שינודה,פסנתר,4795,2,4795_2
באיזה כלי מוזיקלי אריק קלפטון מיומן?,גיטרה,instrument,אריק קלפטון,גיטרה,4796,4,4796_4
איזה כלי נגינה מנגן פרנץ ליסט?,פסנתר,instrument,פרנץ ליסט,פסנתר,4797,1,4797_1
איזה כלי נגינה מנגן סטיבי וונדר?,מפוחית פה,instrument,סטיבי וונדר,מפוחית פה,4798,1,4798_1
איזה כלי נגינה ג'ארד לטו מנגן?,כינור,instrument,ג'ארד לטו,כינור,4799,0,4799_0
באיזה כלי יוהנס ברהמס ידוע כנגן?,פסנתר,instrument,יוהנס ברהמס,פסנתר,4800,3,4800_3
איזה כלי נגינה ריי צ'ארלס מנגן?,פסנתר,instrument,ריי צ'ארלס,פסנתר,4801,0,4801_0
באיזה כלי מוזיקלי בריאן מיי מיומן?,גיטרה,instrument,בריאן מיי,גיטרה,4802,4,4802_4
באיזו דת גאוטמה בודהה מעורב?,בודהיזם,religion,גאוטמה בודהה,בודהיזם,4632,4,4632_4
מהו האמונה הדתית של אוגוסטינוס?,נצרות,religion,אוגוסטינוס,נצרות,4633,1,4633_1
מהו האמונה הדתית של אלבנים?,מוסלמים,religion,אלבנים,מוסלמים,4634,1,4634_1
איזו דת בדה ונרביליס שייך אליה?,נצרות,religion,בדה ונרביליס,נצרות,4635,0,4635_0
באיזו דת קונסטנטינוס מעורב?,נצרות,religion,קונסטנטינוס,נצרות,4636,4,4636_4
באיזו דת יעקב מעורב?,יהדות,religion,יעקב,יהדות,4637,4,4637_4
באיזו דת בישוף מעורב?,נצרות,religion,בישוף,נצרות,4638,4,4638_4
איזה אמונה הונוריוס השלישי עוקב?,נצרות,religion,הונוריוס השלישי,נצרות,4639,2,4639_2
איזה אמונה גרגוריוס התשיעי עוקב?,נצרות,religion,גרגוריוס התשיעי,נצרות,4640,2,4640_2
באיזו דת אפגניסטן מעורב?,אסלאם,religion,אפגניסטן,אסלאם,4641,4,4641_4
מהו האמונה הדתית של ישו?,יהדות,religion,ישו,יהדות,4642,1,4642_1
באיזו דת ערבים מעורב?,אסלאם,religion,ערבים,אסלאם,4643,4,4643_4
מהו האמונה הדתית של אבן בטוטה?,אסלאם,religion,אבן בטוטה,אסלאם,4644,1,4644_1
באיזו דת מוחמד מעורב?,אסלאם,religion,מוחמד,אסלאם,4645,4,4645_4
איזו דת מוסלמים שייך אליה?,אסלאם,religion,מוסלמים,אסלאם,4646,0,4646_0
"איזו דת רמב""ם שייך אליה?",יהדות,religion,"רמב""ם",יהדות,4647,0,4647_0
איזו דת מתורגלת על ידי מלקולם אקס?,אסלאם,religion,מלקולם אקס,אסלאם,4648,3,4648_3
איזו דת אוזבקים שייך אליה?,אסלאם,religion,אוזבקים,אסלאם,4649,0,4649_0
מהו האמונה הדתית של בית כנסת?,יהדות,religion,בית כנסת,יהדות,4650,1,4650_1
איזו דת מהמט הרביעי שייך אליה?,אסלאם,religion,מהמט הרביעי,אסלאם,4651,0,4651_0
איזו דת אברהם שייך אליה?,יהדות,religion,אברהם,יהדות,4652,0,4652_0
איזו דת מתורגלת על ידי אבן רושד?,אסלאם,religion,אבן רושד,אסלאם,4653,3,4653_3
איזו דת אבן ח'לדון שייך אליה?,אסלאם,religion,אבן ח'לדון,אסלאם,4654,0,4654_0
איזו דת מתורגלת על ידי דוד?,יהדות,religion,דוד,יהדות,4655,3,4655_3
מהו האמונה הדתית של סולימאן הראשון?,אסלאם,religion,סולימאן הראשון,אסלאם,4656,1,4656_1
איזו דת ערבים שייך אליה?,נצרות,religion,ערבים,נצרות,4657,0,4657_0
איזו דת ג'לאל א-דין רומי שייך אליה?,אסלאם,religion,ג'לאל א-דין רומי,אסלאם,4658,0,4658_0
