question,answer,relation,subject,object,q_index,prompt_id,q_id
Quel instrument joue Nat King Cole?,piano,instrument,Nat King Cole,piano,4757,0,4757_0
Quel instrument de musique est joué par Nat King Cole?,piano,instrument,Nat King Cole,piano,4757,1,4757_1
Que fait Nat King Cole pour créer de la musique?,piano,instrument,Nat King Cole,piano,4757,2,4757_2
Pour quel instrument Nat King Cole est-il connu pour jouer?,piano,instrument,Nat King Cole,piano,4757,3,4757_3
Quel outil musical Nat King Cole maîtrise-t-il?,piano,instrument,Nat King Cole,piano,4757,4,4757_4
Quel instrument joue Jimmy Page?,violon,instrument,Jimmy Page,violon,4758,0,4758_0
Quel instrument de musique est joué par Jimmy Page?,violon,instrument,Jimmy Page,violon,4758,1,4758_1
Que fait Jimmy Page pour créer de la musique?,violon,instrument,Jimmy Page,violon,4758,2,4758_2
Pour quel instrument Jimmy Page est-il connu pour jouer?,violon,instrument,Jimmy Page,violon,4758,3,4758_3
Quel outil musical Jimmy Page maîtrise-t-il?,violon,instrument,Jimmy Page,violon,4758,4,4758_4
Quel instrument joue Neil Young?,harmonica,instrument,Neil Young,harmonica,4759,0,4759_0
Quel instrument de musique est joué par Neil Young?,harmonica,instrument,Neil Young,harmonica,4759,1,4759_1
Que fait Neil Young pour créer de la musique?,harmonica,instrument,Neil Young,harmonica,4759,2,4759_2
Pour quel instrument Neil Young est-il connu pour jouer?,harmonica,instrument,Neil Young,harmonica,4759,3,4759_3
Quel outil musical Neil Young maîtrise-t-il?,harmonica,instrument,Neil Young,harmonica,4759,4,4759_4
Quel instrument joue Aretha Franklin?,piano,instrument,Aretha Franklin,piano,4760,0,4760_0
Quel instrument de musique est joué par Aretha Franklin?,piano,instrument,Aretha Franklin,piano,4760,1,4760_1
Que fait Aretha Franklin pour créer de la musique?,piano,instrument,Aretha Franklin,piano,4760,2,4760_2
Pour quel instrument Aretha Franklin est-il connu pour jouer?,piano,instrument,Aretha Franklin,piano,4760,3,4760_3
Quel outil musical Aretha Franklin maîtrise-t-il?,piano,instrument,Aretha Franklin,piano,4760,4,4760_4
Quel instrument joue Leonard Bernstein?,piano,instrument,Leonard Bernstein,piano,4761,0,4761_0
Quel instrument de musique est joué par Leonard Bernstein?,piano,instrument,Leonard Bernstein,piano,4761,1,4761_1
Que fait Leonard Bernstein pour créer de la musique?,piano,instrument,Leonard Bernstein,piano,4761,2,4761_2
Pour quel instrument Leonard Bernstein est-il connu pour jouer?,piano,instrument,Leonard Bernstein,piano,4761,3,4761_3
Quel outil musical Leonard Bernstein maîtrise-t-il?,piano,instrument,Leonard Bernstein,piano,4761,4,4761_4
Quel instrument joue Eric Clapton?,violon,instrument,Eric Clapton,violon,4762,0,4762_0
Quel instrument de musique est joué par Eric Clapton?,violon,instrument,Eric Clapton,violon,4762,1,4762_1
Que fait Eric Clapton pour créer de la musique?,violon,instrument,Eric Clapton,violon,4762,2,4762_2
Pour quel instrument Eric Clapton est-il connu pour jouer?,violon,instrument,Eric Clapton,violon,4762,3,4762_3
Quel outil musical Eric Clapton maîtrise-t-il?,violon,instrument,Eric Clapton,violon,4762,4,4762_4
Quel instrument joue Emmanuel Chabrier?,piano,instrument,Emmanuel Chabrier,piano,4763,0,4763_0
Quel instrument de musique est joué par Emmanuel Chabrier?,piano,instrument,Emmanuel Chabrier,piano,4763,1,4763_1
Que fait Emmanuel Chabrier pour créer de la musique?,piano,instrument,Emmanuel Chabrier,piano,4763,2,4763_2
Pour quel instrument Emmanuel Chabrier est-il connu pour jouer?,piano,instrument,Emmanuel Chabrier,piano,4763,3,4763_3
Quel outil musical Emmanuel Chabrier maîtrise-t-il?,piano,instrument,Emmanuel Chabrier,piano,4763,4,4763_4
Quel instrument joue Serge Gainsbourg?,guitare,instrument,Serge Gainsbourg,guitare,4764,0,4764_0
Quel instrument de musique est joué par Serge Gainsbourg?,guitare,instrument,Serge Gainsbourg,guitare,4764,1,4764_1
Que fait Serge Gainsbourg pour créer de la musique?,guitare,instrument,Serge Gainsbourg,guitare,4764,2,4764_2
Pour quel instrument Serge Gainsbourg est-il connu pour jouer?,guitare,instrument,Serge Gainsbourg,guitare,4764,3,4764_3
Quel outil musical Serge Gainsbourg maîtrise-t-il?,guitare,instrument,Serge Gainsbourg,guitare,4764,4,4764_4
Quel instrument joue Edvard Grieg?,piano,instrument,Edvard Grieg,piano,4765,0,4765_0
Quel instrument de musique est joué par Edvard Grieg?,piano,instrument,Edvard Grieg,piano,4765,1,4765_1
Que fait Edvard Grieg pour créer de la musique?,piano,instrument,Edvard Grieg,piano,4765,2,4765_2
Pour quel instrument Edvard Grieg est-il connu pour jouer?,piano,instrument,Edvard Grieg,piano,4765,3,4765_3
Quel outil musical Edvard Grieg maîtrise-t-il?,piano,instrument,Edvard Grieg,piano,4765,4,4765_4
Quel instrument joue Itzhak Perlman?,violon,instrument,Itzhak Perlman,violon,4766,0,4766_0
Quel instrument de musique est joué par Itzhak Perlman?,violon,instrument,Itzhak Perlman,violon,4766,1,4766_1
Que fait Itzhak Perlman pour créer de la musique?,violon,instrument,Itzhak Perlman,violon,4766,2,4766_2
