question,answer,relation,subject,object,q_index,prompt_id,q_id,target_lang,klar_id
¿En qué país tiene Presidente de la República Francesa como término legal?,Francia,applies_to_jurisdiction,Presidente de la República Francesa,Francia,5960,0,5960_0,es,es_5960_0
¿Dónde se aplica el término legal primer ministro de Canadá?,Canadá,applies_to_jurisdiction,primer ministro de Canadá,Canadá,5961,2,5961_2,es,es_5961_2
¿En qué región es Partido Laborista Australiano un término legal reconocido?,Australia,applies_to_jurisdiction,Partido Laborista Australiano,Australia,5962,4,5962_4,es,es_5962_4
¿En qué región es presidente de México un término legal reconocido?,México,applies_to_jurisdiction,presidente de México,México,5963,4,5963_4,es,es_5963_4
¿En qué jurisdicción es canciller de Alemania un término legal?,Alemania,applies_to_jurisdiction,canciller de Alemania,Alemania,5964,1,5964_1,es,es_5964_1
¿Dónde se aplica el término legal Ley Fundamental para la República Federal de Alemania?,Alemania,applies_to_jurisdiction,Ley Fundamental para la República Federal de Alemania,Alemania,5965,2,5965_2,es,es_5965_2
¿En qué país tiene Parlamento de Canadá como término legal?,Canadá,applies_to_jurisdiction,Parlamento de Canadá,Canadá,5966,0,5966_0,es,es_5966_0
¿En qué país tiene Lok Sabha como término legal?,India,applies_to_jurisdiction,Lok Sabha,India,5967,0,5967_0,es,es_5967_0
¿En qué región es Knéset un término legal reconocido?,Israel,applies_to_jurisdiction,Knéset,Israel,5968,4,5968_4,es,es_5968_4
¿Dónde se aplica el término legal primer ministro de Japón?,Japón,applies_to_jurisdiction,primer ministro de Japón,Japón,5969,2,5969_2,es,es_5969_2
¿En qué región es presidente de Irlanda un término legal reconocido?,Irlanda,applies_to_jurisdiction,presidente de Irlanda,Irlanda,5970,4,5970_4,es,es_5970_4
¿En qué jurisdicción es dólar australiano un término legal?,Australia,applies_to_jurisdiction,dólar australiano,Australia,5971,1,5971_1,es,es_5971_1
¿Qué entidad legal usa Presidente de Pakistán?,Pakistán,applies_to_jurisdiction,Presidente de Pakistán,Pakistán,5972,3,5972_3,es,es_5972_3
¿En qué país tiene presidente de Rusia como término legal?,Rusia,applies_to_jurisdiction,presidente de Rusia,Rusia,5973,0,5973_0,es,es_5973_0
¿Qué entidad legal usa Canciller de Austria?,Austria,applies_to_jurisdiction,Canciller de Austria,Austria,5974,3,5974_3,es,es_5974_3
¿En qué país tiene Parlamento de Suecia como término legal?,Suecia,applies_to_jurisdiction,Parlamento de Suecia,Suecia,5975,0,5975_0,es,es_5975_0
¿En qué jurisdicción es bandera de España un término legal?,España,applies_to_jurisdiction,bandera de España,España,5976,1,5976_1,es,es_5976_1
¿Qué entidad legal usa bandera de Francia?,Francia,applies_to_jurisdiction,bandera de Francia,Francia,5977,3,5977_3,es,es_5977_3
¿Dónde se aplica el término legal Presidente de Ucrania?,Ucrania,applies_to_jurisdiction,Presidente de Ucrania,Ucrania,5978,2,5978_2,es,es_5978_2
¿Qué entidad legal usa primer ministro de Francia?,Francia,applies_to_jurisdiction,primer ministro de Francia,Francia,5979,3,5979_3,es,es_5979_3
¿Qué entidad legal usa bandera de Dinamarca?,Dinamarca,applies_to_jurisdiction,bandera de Dinamarca,Dinamarca,5980,3,5980_3,es,es_5980_3
¿En qué país tiene Bundestag como término legal?,Alemania,applies_to_jurisdiction,Bundestag,Alemania,5981,0,5981_0,es,es_5981_0
¿En qué país tiene Bandera de Irlanda como término legal?,Irlanda,applies_to_jurisdiction,Bandera de Irlanda,Irlanda,5982,0,5982_0,es,es_5982_0
¿Qué entidad legal usa presidente de Austria?,Austria,applies_to_jurisdiction,presidente de Austria,Austria,5983,3,5983_3,es,es_5983_3
¿Qué entidad legal usa Primer ministro de Pakistán?,Pakistán,applies_to_jurisdiction,Primer ministro de Pakistán,Pakistán,5984,3,5984_3,es,es_5984_3
¿En qué región es presidente de Alemania un término legal reconocido?,Alemania,applies_to_jurisdiction,presidente de Alemania,Alemania,5985,4,5985_4,es,es_5985_4
¿En qué país tiene primer ministro de Suecia como término legal?,Suecia,applies_to_jurisdiction,primer ministro de Suecia,Suecia,5986,0,5986_0,es,es_5986_0
¿En qué región es Asamblea Nacional de Francia un término legal reconocido?,Francia,applies_to_jurisdiction,Asamblea Nacional de Francia,Francia,5987,4,5987_4,es,es_5987_4
¿Qué entidad legal usa Bandera de Suiza?,Suiza,applies_to_jurisdiction,Bandera de Suiza,Suiza,5988,3,5988_3,es,es_5988_3
¿Qué entidad legal usa Presidente del Gobierno de Rusia?,Rusia,applies_to_jurisdiction,Presidente del Gobierno de Rusia,Rusia,5989,3,5989_3,es,es_5989_3
¿Qué entidad legal usa Bandera de Singapur?,Singapur,applies_to_jurisdiction,Bandera de Singapur,Singapur,5990,3,5990_3,es,es_5990_3
¿Dónde se aplica el término legal Senado de Francia?,Francia,applies_to_jurisdiction,Senado de Francia,Francia,5991,2,5991_2,es,es_5991_2
¿Qué entidad legal usa Primer ministro de Ucrania?,Ucrania,applies_to_jurisdiction,Primer ministro de Ucrania,Ucrania,5992,3,5992_3,es,es_5992_3
¿En qué jurisdicción es bandera de Rusia un término legal?,Rusia,applies_to_jurisdiction,bandera de Rusia,Rusia,5993,1,5993_1,es,es_5993_1
