question,answer,relation,subject,object,q_index,prompt_id,q_id
ナット・キング・コールはどんな楽器を演奏しますか？,ピアノ,instrument,ナット・キング・コール,ピアノ,4757,0,4757_0
ナット・キング・コールはどの楽器を演奏しますか？,ピアノ,instrument,ナット・キング・コール,ピアノ,4757,1,4757_1
ナット・キング・コールは音楽を作成するために何を使用しますか？,ピアノ,instrument,ナット・キング・コール,ピアノ,4757,2,4757_2
ナット・キング・コールはどの楽器で演奏で知られていますか？,ピアノ,instrument,ナット・キング・コール,ピアノ,4757,3,4757_3
ナット・キング・コールはどの音楽ツールに巧みですか？,ピアノ,instrument,ナット・キング・コール,ピアノ,4757,4,4757_4
ジミー・ペイジはどんな楽器を演奏しますか？,ヴァイオリン,instrument,ジミー・ペイジ,ヴァイオリン,4758,0,4758_0
ジミー・ペイジはどの楽器を演奏しますか？,ヴァイオリン,instrument,ジミー・ペイジ,ヴァイオリン,4758,1,4758_1
ジミー・ペイジは音楽を作成するために何を使用しますか？,ヴァイオリン,instrument,ジミー・ペイジ,ヴァイオリン,4758,2,4758_2
ジミー・ペイジはどの楽器で演奏で知られていますか？,ヴァイオリン,instrument,ジミー・ペイジ,ヴァイオリン,4758,3,4758_3
ジミー・ペイジはどの音楽ツールに巧みですか？,ヴァイオリン,instrument,ジミー・ペイジ,ヴァイオリン,4758,4,4758_4
ニール・ヤングはどんな楽器を演奏しますか？,ハーモニカ,instrument,ニール・ヤング,ハーモニカ,4759,0,4759_0
ニール・ヤングはどの楽器を演奏しますか？,ハーモニカ,instrument,ニール・ヤング,ハーモニカ,4759,1,4759_1
ニール・ヤングは音楽を作成するために何を使用しますか？,ハーモニカ,instrument,ニール・ヤング,ハーモニカ,4759,2,4759_2
ニール・ヤングはどの楽器で演奏で知られていますか？,ハーモニカ,instrument,ニール・ヤング,ハーモニカ,4759,3,4759_3
ニール・ヤングはどの音楽ツールに巧みですか？,ハーモニカ,instrument,ニール・ヤング,ハーモニカ,4759,4,4759_4
アレサ・フランクリンはどんな楽器を演奏しますか？,ピアノ,instrument,アレサ・フランクリン,ピアノ,4760,0,4760_0
アレサ・フランクリンはどの楽器を演奏しますか？,ピアノ,instrument,アレサ・フランクリン,ピアノ,4760,1,4760_1
アレサ・フランクリンは音楽を作成するために何を使用しますか？,ピアノ,instrument,アレサ・フランクリン,ピアノ,4760,2,4760_2
アレサ・フランクリンはどの楽器で演奏で知られていますか？,ピアノ,instrument,アレサ・フランクリン,ピアノ,4760,3,4760_3
アレサ・フランクリンはどの音楽ツールに巧みですか？,ピアノ,instrument,アレサ・フランクリン,ピアノ,4760,4,4760_4
レナード・バーンスタインはどんな楽器を演奏しますか？,ピアノ,instrument,レナード・バーンスタイン,ピアノ,4761,0,4761_0
レナード・バーンスタインはどの楽器を演奏しますか？,ピアノ,instrument,レナード・バーンスタイン,ピアノ,4761,1,4761_1
レナード・バーンスタインは音楽を作成するために何を使用しますか？,ピアノ,instrument,レナード・バーンスタイン,ピアノ,4761,2,4761_2
レナード・バーンスタインはどの楽器で演奏で知られていますか？,ピアノ,instrument,レナード・バーンスタイン,ピアノ,4761,3,4761_3
レナード・バーンスタインはどの音楽ツールに巧みですか？,ピアノ,instrument,レナード・バーンスタイン,ピアノ,4761,4,4761_4
エリック・クラプトンはどんな楽器を演奏しますか？,ヴァイオリン,instrument,エリック・クラプトン,ヴァイオリン,4762,0,4762_0
エリック・クラプトンはどの楽器を演奏しますか？,ヴァイオリン,instrument,エリック・クラプトン,ヴァイオリン,4762,1,4762_1
エリック・クラプトンは音楽を作成するために何を使用しますか？,ヴァイオリン,instrument,エリック・クラプトン,ヴァイオリン,4762,2,4762_2
エリック・クラプトンはどの楽器で演奏で知られていますか？,ヴァイオリン,instrument,エリック・クラプトン,ヴァイオリン,4762,3,4762_3
エリック・クラプトンはどの音楽ツールに巧みですか？,ヴァイオリン,instrument,エリック・クラプトン,ヴァイオリン,4762,4,4762_4
エマニュエル・シャブリエはどんな楽器を演奏しますか？,ピアノ,instrument,エマニュエル・シャブリエ,ピアノ,4763,0,4763_0
エマニュエル・シャブリエはどの楽器を演奏しますか？,ピアノ,instrument,エマニュエル・シャブリエ,ピアノ,4763,1,4763_1
エマニュエル・シャブリエは音楽を作成するために何を使用しますか？,ピアノ,instrument,エマニュエル・シャブリエ,ピアノ,4763,2,4763_2
エマニュエル・シャブリエはどの楽器で演奏で知られていますか？,ピアノ,instrument,エマニュエル・シャブリエ,ピアノ,4763,3,4763_3
エマニュエル・シャブリエはどの音楽ツールに巧みですか？,ピアノ,instrument,エマニュエル・シャブリエ,ピアノ,4763,4,4763_4
セルジュ・ゲンスブールはどんな楽器を演奏しますか？,ギター,instrument,セルジュ・ゲンスブール,ギター,4764,0,4764_0
セルジュ・ゲンスブールはどの楽器を演奏しますか？,ギター,instrument,セルジュ・ゲンスブール,ギター,4764,1,4764_1
セルジュ・ゲンスブールは音楽を作成するために何を使用しますか？,ギター,instrument,セルジュ・ゲンスブール,ギター,4764,2,4764_2
セルジュ・ゲンスブールはどの楽器で演奏で知られていますか？,ギター,instrument,セルジュ・ゲンスブール,ギター,4764,3,4764_3
セルジュ・ゲンスブールはどの音楽ツールに巧みですか？,ギター,instrument,セルジュ・ゲンスブール,ギター,4764,4,4764_4
エドヴァルド・グリーグはどんな楽器を演奏しますか？,ピアノ,instrument,エドヴァルド・グリーグ,ピアノ,4765,0,4765_0
エドヴァルド・グリーグはどの楽器を演奏しますか？,ピアノ,instrument,エドヴァルド・グリーグ,ピアノ,4765,1,4765_1
エドヴァルド・グリーグは音楽を作成するために何を使用しますか？,ピアノ,instrument,エドヴァルド・グリーグ,ピアノ,4765,2,4765_2
エドヴァルド・グリーグはどの楽器で演奏で知られていますか？,ピアノ,instrument,エドヴァルド・グリーグ,ピアノ,4765,3,4765_3
エドヴァルド・グリーグはどの音楽ツールに巧みですか？,ピアノ,instrument,エドヴァルド・グリーグ,ピアノ,4765,4,4765_4
イツァーク・パールマンはどんな楽器を演奏しますか？,ヴァイオリン,instrument,イツァーク・パールマン,ヴァイオリン,4766,0,4766_0
イツァーク・パールマンはどの楽器を演奏しますか？,ヴァイオリン,instrument,イツァーク・パールマン,ヴァイオリン,4766,1,4766_1
イツァーク・パールマンは音楽を作成するために何を使用しますか？,ヴァイオリン,instrument,イツァーク・パールマン,ヴァイオリン,4766,2,4766_2
イツァーク・パールマンはどの楽器で演奏で知られていますか？,ヴァイオリン,instrument,イツァーク・パールマン,ヴァイオリン,4766,3,4766_3
イツァーク・パールマンはどの音楽ツールに巧みですか？,ヴァイオリン,instrument,イツァーク・パールマン,ヴァイオリン,4766,4,4766_4
ジョージ・マーティンはどんな楽器を演奏しますか？,ピアノ,instrument,ジョージ・マーティン,ピアノ,4767,0,4767_0
ジョージ・マーティンはどの楽器を演奏しますか？,ピアノ,instrument,ジョージ・マーティン,ピアノ,4767,1,4767_1
ジョージ・マーティンは音楽を作成するために何を使用しますか？,ピアノ,instrument,ジョージ・マーティン,ピアノ,4767,2,4767_2
ジョージ・マーティンはどの楽器で演奏で知られていますか？,ピアノ,instrument,ジョージ・マーティン,ピアノ,4767,3,4767_3
ジョージ・マーティンはどの音楽ツールに巧みですか？,ピアノ,instrument,ジョージ・マーティン,ピアノ,4767,4,4767_4
ボブ・ディランはどんな楽器を演奏しますか？,ハーモニカ,instrument,ボブ・ディラン,ハーモニカ,4768,0,4768_0
ボブ・ディランはどの楽器を演奏しますか？,ハーモニカ,instrument,ボブ・ディラン,ハーモニカ,4768,1,4768_1
ボブ・ディランは音楽を作成するために何を使用しますか？,ハーモニカ,instrument,ボブ・ディラン,ハーモニカ,4768,2,4768_2
ボブ・ディランはどの楽器で演奏で知られていますか？,ハーモニカ,instrument,ボブ・ディラン,ハーモニカ,4768,3,4768_3
ボブ・ディランはどの音楽ツールに巧みですか？,ハーモニカ,instrument,ボブ・ディラン,ハーモニカ,4768,4,4768_4
マイク・シノダはどんな楽器を演奏しますか？,ギター,instrument,マイク・シノダ,ギター,4769,0,4769_0
マイク・シノダはどの楽器を演奏しますか？,ギター,instrument,マイク・シノダ,ギター,4769,1,4769_1
マイク・シノダは音楽を作成するために何を使用しますか？,ギター,instrument,マイク・シノダ,ギター,4769,2,4769_2
マイク・シノダはどの楽器で演奏で知られていますか？,ギター,instrument,マイク・シノダ,ギター,4769,3,4769_3
マイク・シノダはどの音楽ツールに巧みですか？,ギター,instrument,マイク・シノダ,ギター,4769,4,4769_4
ジャレッド・レトはどんな楽器を演奏しますか？,ギター,instrument,ジャレッド・レト,ギター,4770,0,4770_0
ジャレッド・レトはどの楽器を演奏しますか？,ギター,instrument,ジャレッド・レト,ギター,4770,1,4770_1
ジャレッド・レトは音楽を作成するために何を使用しますか？,ギター,instrument,ジャレッド・レト,ギター,4770,2,4770_2
ジャレッド・レトはどの楽器で演奏で知られていますか？,ギター,instrument,ジャレッド・レト,ギター,4770,3,4770_3
ジャレッド・レトはどの音楽ツールに巧みですか？,ギター,instrument,ジャレッド・レト,ギター,4770,4,4770_4
