question,answer,relation,subject,object,q_index,prompt_id,q_id
纳·京·高尔 演奏什么乐器？,钢琴,instrument,纳·京·高尔,钢琴,4757,0,4757_0
纳·京·高尔 演奏哪种乐器？,钢琴,instrument,纳·京·高尔,钢琴,4757,1,4757_1
纳·京·高尔 用什么来创作音乐？,钢琴,instrument,纳·京·高尔,钢琴,4757,2,4757_2
纳·京·高尔 以演奏哪种乐器而闻名？,钢琴,instrument,纳·京·高尔,钢琴,4757,3,4757_3
纳·京·高尔 擅长使用哪种乐器？,钢琴,instrument,纳·京·高尔,钢琴,4757,4,4757_4
吉米·佩奇 演奏什么乐器？,小提琴,instrument,吉米·佩奇,小提琴,4758,0,4758_0
吉米·佩奇 演奏哪种乐器？,小提琴,instrument,吉米·佩奇,小提琴,4758,1,4758_1
吉米·佩奇 用什么来创作音乐？,小提琴,instrument,吉米·佩奇,小提琴,4758,2,4758_2
吉米·佩奇 以演奏哪种乐器而闻名？,小提琴,instrument,吉米·佩奇,小提琴,4758,3,4758_3
吉米·佩奇 擅长使用哪种乐器？,小提琴,instrument,吉米·佩奇,小提琴,4758,4,4758_4
尼尔·杨 演奏什么乐器？,口琴,instrument,尼尔·杨,口琴,4759,0,4759_0
尼尔·杨 演奏哪种乐器？,口琴,instrument,尼尔·杨,口琴,4759,1,4759_1
尼尔·杨 用什么来创作音乐？,口琴,instrument,尼尔·杨,口琴,4759,2,4759_2
尼尔·杨 以演奏哪种乐器而闻名？,口琴,instrument,尼尔·杨,口琴,4759,3,4759_3
尼尔·杨 擅长使用哪种乐器？,口琴,instrument,尼尔·杨,口琴,4759,4,4759_4
艾瑞莎·弗兰克林 演奏什么乐器？,钢琴,instrument,艾瑞莎·弗兰克林,钢琴,4760,0,4760_0
艾瑞莎·弗兰克林 演奏哪种乐器？,钢琴,instrument,艾瑞莎·弗兰克林,钢琴,4760,1,4760_1
艾瑞莎·弗兰克林 用什么来创作音乐？,钢琴,instrument,艾瑞莎·弗兰克林,钢琴,4760,2,4760_2
艾瑞莎·弗兰克林 以演奏哪种乐器而闻名？,钢琴,instrument,艾瑞莎·弗兰克林,钢琴,4760,3,4760_3
艾瑞莎·弗兰克林 擅长使用哪种乐器？,钢琴,instrument,艾瑞莎·弗兰克林,钢琴,4760,4,4760_4
伦纳德·伯恩斯坦 演奏什么乐器？,钢琴,instrument,伦纳德·伯恩斯坦,钢琴,4761,0,4761_0
伦纳德·伯恩斯坦 演奏哪种乐器？,钢琴,instrument,伦纳德·伯恩斯坦,钢琴,4761,1,4761_1
伦纳德·伯恩斯坦 用什么来创作音乐？,钢琴,instrument,伦纳德·伯恩斯坦,钢琴,4761,2,4761_2
伦纳德·伯恩斯坦 以演奏哪种乐器而闻名？,钢琴,instrument,伦纳德·伯恩斯坦,钢琴,4761,3,4761_3
伦纳德·伯恩斯坦 擅长使用哪种乐器？,钢琴,instrument,伦纳德·伯恩斯坦,钢琴,4761,4,4761_4
埃里克·克莱普顿 演奏什么乐器？,小提琴,instrument,埃里克·克莱普顿,小提琴,4762,0,4762_0
埃里克·克莱普顿 演奏哪种乐器？,小提琴,instrument,埃里克·克莱普顿,小提琴,4762,1,4762_1
埃里克·克莱普顿 用什么来创作音乐？,小提琴,instrument,埃里克·克莱普顿,小提琴,4762,2,4762_2
埃里克·克莱普顿 以演奏哪种乐器而闻名？,小提琴,instrument,埃里克·克莱普顿,小提琴,4762,3,4762_3
埃里克·克莱普顿 擅长使用哪种乐器？,小提琴,instrument,埃里克·克莱普顿,小提琴,4762,4,4762_4
艾曼纽·夏布里耶 演奏什么乐器？,钢琴,instrument,艾曼纽·夏布里耶,钢琴,4763,0,4763_0
艾曼纽·夏布里耶 演奏哪种乐器？,钢琴,instrument,艾曼纽·夏布里耶,钢琴,4763,1,4763_1
艾曼纽·夏布里耶 用什么来创作音乐？,钢琴,instrument,艾曼纽·夏布里耶,钢琴,4763,2,4763_2
艾曼纽·夏布里耶 以演奏哪种乐器而闻名？,钢琴,instrument,艾曼纽·夏布里耶,钢琴,4763,3,4763_3
艾曼纽·夏布里耶 擅长使用哪种乐器？,钢琴,instrument,艾曼纽·夏布里耶,钢琴,4763,4,4763_4
赛日·甘斯布 演奏什么乐器？,吉他,instrument,赛日·甘斯布,吉他,4764,0,4764_0
赛日·甘斯布 演奏哪种乐器？,吉他,instrument,赛日·甘斯布,吉他,4764,1,4764_1
赛日·甘斯布 用什么来创作音乐？,吉他,instrument,赛日·甘斯布,吉他,4764,2,4764_2
赛日·甘斯布 以演奏哪种乐器而闻名？,吉他,instrument,赛日·甘斯布,吉他,4764,3,4764_3
赛日·甘斯布 擅长使用哪种乐器？,吉他,instrument,赛日·甘斯布,吉他,4764,4,4764_4
爱德华·格里格 演奏什么乐器？,钢琴,instrument,爱德华·格里格,钢琴,4765,0,4765_0
爱德华·格里格 演奏哪种乐器？,钢琴,instrument,爱德华·格里格,钢琴,4765,1,4765_1
爱德华·格里格 用什么来创作音乐？,钢琴,instrument,爱德华·格里格,钢琴,4765,2,4765_2
爱德华·格里格 以演奏哪种乐器而闻名？,钢琴,instrument,爱德华·格里格,钢琴,4765,3,4765_3
爱德华·格里格 擅长使用哪种乐器？,钢琴,instrument,爱德华·格里格,钢琴,4765,4,4765_4
伊扎克·帕尔曼 演奏什么乐器？,小提琴,instrument,伊扎克·帕尔曼,小提琴,4766,0,4766_0
伊扎克·帕尔曼 演奏哪种乐器？,小提琴,instrument,伊扎克·帕尔曼,小提琴,4766,1,4766_1
伊扎克·帕尔曼 用什么来创作音乐？,小提琴,instrument,伊扎克·帕尔曼,小提琴,4766,2,4766_2
伊扎克·帕尔曼 以演奏哪种乐器而闻名？,小提琴,instrument,伊扎克·帕尔曼,小提琴,4766,3,4766_3
伊扎克·帕尔曼 擅长使用哪种乐器？,小提琴,instrument,伊扎克·帕尔曼,小提琴,4766,4,4766_4
乔治·马丁 演奏什么乐器？,钢琴,instrument,乔治·马丁,钢琴,4767,0,4767_0
乔治·马丁 演奏哪种乐器？,钢琴,instrument,乔治·马丁,钢琴,4767,1,4767_1
乔治·马丁 用什么来创作音乐？,钢琴,instrument,乔治·马丁,钢琴,4767,2,4767_2
乔治·马丁 以演奏哪种乐器而闻名？,钢琴,instrument,乔治·马丁,钢琴,4767,3,4767_3
乔治·马丁 擅长使用哪种乐器？,钢琴,instrument,乔治·马丁,钢琴,4767,4,4767_4
鲍勃·迪伦 演奏什么乐器？,口琴,instrument,鲍勃·迪伦,口琴,4768,0,4768_0
鲍勃·迪伦 演奏哪种乐器？,口琴,instrument,鲍勃·迪伦,口琴,4768,1,4768_1
鲍勃·迪伦 用什么来创作音乐？,口琴,instrument,鲍勃·迪伦,口琴,4768,2,4768_2
鲍勃·迪伦 以演奏哪种乐器而闻名？,口琴,instrument,鲍勃·迪伦,口琴,4768,3,4768_3
鲍勃·迪伦 擅长使用哪种乐器？,口琴,instrument,鲍勃·迪伦,口琴,4768,4,4768_4
麦克·篠田 演奏什么乐器？,吉他,instrument,麦克·篠田,吉他,4769,0,4769_0
麦克·篠田 演奏哪种乐器？,吉他,instrument,麦克·篠田,吉他,4769,1,4769_1
麦克·篠田 用什么来创作音乐？,吉他,instrument,麦克·篠田,吉他,4769,2,4769_2
麦克·篠田 以演奏哪种乐器而闻名？,吉他,instrument,麦克·篠田,吉他,4769,3,4769_3
麦克·篠田 擅长使用哪种乐器？,吉他,instrument,麦克·篠田,吉他,4769,4,4769_4
杰瑞德·莱托 演奏什么乐器？,吉他,instrument,杰瑞德·莱托,吉他,4770,0,4770_0
杰瑞德·莱托 演奏哪种乐器？,吉他,instrument,杰瑞德·莱托,吉他,4770,1,4770_1
杰瑞德·莱托 用什么来创作音乐？,吉他,instrument,杰瑞德·莱托,吉他,4770,2,4770_2
杰瑞德·莱托 以演奏哪种乐器而闻名？,吉他,instrument,杰瑞德·莱托,吉他,4770,3,4770_3
杰瑞德·莱托 擅长使用哪种乐器？,吉他,instrument,杰瑞德·莱托,吉他,4770,4,4770_4
