question,answer,relation,subject,object,q_index,prompt_id,q_id
Quel instrument de musique est joué par Nat King Cole?,piano,instrument,Nat King Cole,piano,4757,1,4757_1
Pour quel instrument Jimmy Page est-il connu pour jouer?,violon,instrument,Jimmy Page,violon,4758,3,4758_3
Quel instrument de musique est joué par Neil Young?,harmonica,instrument,Neil Young,harmonica,4759,1,4759_1
Quel instrument joue Aretha Franklin?,piano,instrument,Aretha Franklin,piano,4760,0,4760_0
Quel instrument joue Leonard Bernstein?,piano,instrument,Leonard Bernstein,piano,4761,0,4761_0
Quel outil musical Eric Clapton maîtrise-t-il?,violon,instrument,Eric Clapton,violon,4762,4,4762_4
Que fait Emmanuel Chabrier pour créer de la musique?,piano,instrument,Emmanuel Chabrier,piano,4763,2,4763_2
Quel instrument de musique est joué par Serge Gainsbourg?,guitare,instrument,Serge Gainsbourg,guitare,4764,1,4764_1
Quel instrument joue Edvard Grieg?,piano,instrument,Edvard Grieg,piano,4765,0,4765_0
Quel instrument joue Itzhak Perlman?,violon,instrument,Itzhak Perlman,violon,4766,0,4766_0
Quel instrument joue George Martin?,piano,instrument,George Martin,piano,4767,0,4767_0
Quel instrument de musique est joué par Bob Dylan?,harmonica,instrument,Bob Dylan,harmonica,4768,1,4768_1
Pour quel instrument Mike Shinoda est-il connu pour jouer?,guitare,instrument,Mike Shinoda,guitare,4769,3,4769_3
Quel outil musical Jared Leto maîtrise-t-il?,guitare,instrument,Jared Leto,guitare,4770,4,4770_4
Que fait Wolfgang Amadeus Mozart pour créer de la musique?,alto,instrument,Wolfgang Amadeus Mozart,alto,4771,2,4771_2
Quel instrument joue Philip Glass?,piano,instrument,Philip Glass,piano,4772,0,4772_0
Quel instrument de musique est joué par Giuseppe Tartini?,violon,instrument,Giuseppe Tartini,violon,4773,1,4773_1
Quel outil musical Francis Poulenc maîtrise-t-il?,piano,instrument,Francis Poulenc,piano,4774,4,4774_4
Quel instrument joue Brad Delson?,guitare,instrument,Brad Delson,guitare,4775,0,4775_0
Que fait Lady Gaga pour créer de la musique?,piano,instrument,Lady Gaga,piano,4776,2,4776_2
Quel instrument joue Elvis Presley?,guitare,instrument,Elvis Presley,guitare,4777,0,4777_0
Quel instrument joue Johann Strauss?,violon,instrument,Johann Strauss,violon,4778,0,4778_0
Quel outil musical Leonard Cohen maîtrise-t-il?,guitare,instrument,Leonard Cohen,guitare,4779,4,4779_4
Que fait George Gershwin pour créer de la musique?,piano,instrument,George Gershwin,piano,4780,2,4780_2
Que fait Ernest Chausson pour créer de la musique?,piano,instrument,Ernest Chausson,piano,4781,2,4781_2
Quel instrument de musique est joué par Céline Dion?,piano,instrument,Céline Dion,piano,4782,1,4782_1
Quel instrument de musique est joué par Bruce Springsteen?,harmonica,instrument,Bruce Springsteen,harmonica,4783,1,4783_1
Pour quel instrument Carl Czerny est-il connu pour jouer?,piano,instrument,Carl Czerny,piano,4784,3,4784_3
Quel instrument de musique est joué par Antonio Vivaldi?,violon,instrument,Antonio Vivaldi,violon,4785,1,4785_1
Quel instrument de musique est joué par Jimi Hendrix?,guitare,instrument,Jimi Hendrix,guitare,4786,1,4786_1
Pour quel instrument Paul Hindemith est-il connu pour jouer?,alto,instrument,Paul Hindemith,alto,4787,3,4787_3
Quel outil musical John Coltrane maîtrise-t-il?,clarinette,instrument,John Coltrane,clarinette,4788,4,4788_4
Que fait Georges Enesco pour créer de la musique?,violon,instrument,Georges Enesco,violon,4789,2,4789_2
Pour quel instrument Paul McCartney est-il connu pour jouer?,piano,instrument,Paul McCartney,piano,4790,3,4790_3
Quel instrument de musique est joué par Tomaso Albinoni?,violon,instrument,Tomaso Albinoni,violon,4791,1,4791_1
Quel outil musical Robert Schumann maîtrise-t-il?,piano,instrument,Robert Schumann,piano,4792,4,4792_4
Quel instrument de musique est joué par Arthur Rubinstein?,piano,instrument,Arthur Rubinstein,piano,4793,1,4793_1
Pour quel instrument Thelonious Monk est-il connu pour jouer?,piano,instrument,Thelonious Monk,piano,4794,3,4794_3
Que fait Mike Shinoda pour créer de la musique?,piano,instrument,Mike Shinoda,piano,4795,2,4795_2
Quel outil musical Eric Clapton maîtrise-t-il?,guitare,instrument,Eric Clapton,guitare,4796,4,4796_4
Quel instrument de musique est joué par Franz Liszt?,piano,instrument,Franz Liszt,piano,4797,1,4797_1
Quel instrument de musique est joué par Stevie Wonder?,harmonica,instrument,Stevie Wonder,harmonica,4798,1,4798_1
Quel instrument joue Jared Leto?,violon,instrument,Jared Leto,violon,4799,0,4799_0
Pour quel instrument Johannes Brahms est-il connu pour jouer?,piano,instrument,Johannes Brahms,piano,4800,3,4800_3
Quel instrument joue Ray Charles?,piano,instrument,Ray Charles,piano,4801,0,4801_0
Quel outil musical Brian May maîtrise-t-il?,guitare,instrument,Brian May,guitare,4802,4,4802_4
Dans quelle religion Siddhartha Gautama est-il impliqué?,bouddhisme,religion,Siddhartha Gautama,bouddhisme,4632,4,4632_4
Quelle est la croyance religieuse de Augustin d'Hippone?,christianisme,religion,Augustin d'Hippone,christianisme,4633,1,4633_1
Quelle est la croyance religieuse de Albanais?,musulman,religion,Albanais,musulman,4634,1,4634_1
Quelle religion est affiliée à Bède le Vénérable?,christianisme,religion,Bède le Vénérable,christianisme,4635,0,4635_0
Dans quelle religion Constantin Ier est-il impliqué?,christianisme,religion,Constantin Ier,christianisme,4636,4,4636_4
Dans quelle religion Jacob est-il impliqué?,judaïsme,religion,Jacob,judaïsme,4637,4,4637_4
Dans quelle religion évêque est-il impliqué?,christianisme,religion,évêque,christianisme,4638,4,4638_4
Quelle foi Honorius III suit-elle?,christianisme,religion,Honorius III,christianisme,4639,2,4639_2
Quelle foi Grégoire IX suit-elle?,christianisme,religion,Grégoire IX,christianisme,4640,2,4640_2
Dans quelle religion Afghanistan est-il impliqué?,islam,religion,Afghanistan,islam,4641,4,4641_4
Quelle est la croyance religieuse de Jésus-Christ?,judaïsme,religion,Jésus-Christ,judaïsme,4642,1,4642_1
Dans quelle religion Arabes est-il impliqué?,islam,religion,Arabes,islam,4643,4,4643_4
Quelle est la croyance religieuse de Ibn Battûta?,islam,religion,Ibn Battûta,islam,4644,1,4644_1
Dans quelle religion Mahomet est-il impliqué?,islam,religion,Mahomet,islam,4645,4,4645_4
Quelle religion est affiliée à musulman?,islam,religion,musulman,islam,4646,0,4646_0
Quelle religion est affiliée à Maïmonide?,judaïsme,religion,Maïmonide,judaïsme,4647,0,4647_0
Quelle religion pratique Malcolm X?,islam,religion,Malcolm X,islam,4648,3,4648_3
Quelle religion est affiliée à Ouzbeks?,islam,religion,Ouzbeks,islam,4649,0,4649_0
Quelle est la croyance religieuse de synagogue?,judaïsme,religion,synagogue,judaïsme,4650,1,4650_1
Quelle religion est affiliée à Mehmed IV?,islam,religion,Mehmed IV,islam,4651,0,4651_0
Quelle religion est affiliée à Abraham?,judaïsme,religion,Abraham,judaïsme,4652,0,4652_0
Quelle religion pratique Averroès?,islam,religion,Averroès,islam,4653,3,4653_3
Quelle religion est affiliée à Ibn Khaldoun?,islam,religion,Ibn Khaldoun,islam,4654,0,4654_0
Quelle religion pratique David?,judaïsme,religion,David,judaïsme,4655,3,4655_3
