original_lang,original_content,original_question,original_answer,content,question,answer,language,translated,q_id,title,url
zh,武安侯是一个曾经在多个王朝使用的封侯名，可以指以下人物：赵兴（先秦）：公元前222年，秦国灭赵国后，封赵奢孙赵兴为武安侯。刘邦：秦二世二年闰九月（公元前208年九月），楚怀王心封刘邦为武安侯。田蚡：西汉人物，汉武帝于建元元年（公元前140年）册封田蚡为武安侯，而后其子田恬因罪于公元前126年被除封。董猛：西晋人物，元康元年（公元291年）因为参与诛杀杨骏而预先获得武安侯爵位，而后于公元300年被诛同时除封。张定和：隋朝人物，公元601年以破突厥之功受封武安县开国侯（607年因为推行《大业令》废止），而后于公元609年被追封为武安侯。郑亨：明朝人物，因为靖难之役有功于永乐元年（公元1403年）获得武安侯。郑宏（武安侯）：明朝人物，前者之孙，正统十一年（1446年）二月继承武安侯爵。,西汉册封谁为武安侯？,田蚡,"Marquis of Wu'an is a feudal title used in several dynasties, referring to the following figures:

Zhao Xing (Pre-Qin Dynasty): In 222 BC, after the Qin Dynasty conquered the Zhao state, Zhao She's grandson, Zhao Xing, was conferred the title of Marquis of Wu'an.

Liu Bang: In the ninth month of the second year of Qin Er Shi (September 208 BC), King Huai of Chu conferred the title of Marquis of Wu'an on Liu Bang.

Tian Fen: A figure in the Western Han Dynasty, who was conferred the title of Marquis of Wu'an by Emperor Wu of Han in 140 BC. His son, Tian Tian, was later stripped of the title in 126 BC for committing a crime.

Dong Meng: A figure in the Western Jin Dynasty, who was granted the title of Marquis of Wu'an in 291 AD for his role in the assassination of Yang Jun. He was later executed and the title was abolished in 300 AD.

Zhang Dinghe: A figure in the Sui Dynasty, who was conferred the title of Duke of Wu'an County in 601 AD for his military victory against the Turks. The title was abolished in 607 AD due to the implementation of the ""Da Ye Ling"" decree. He was posthumously granted the title of Marquis of Wu'an in 609 AD.

Zheng Heng: A figure in the Ming Dynasty, who was granted the title of Marquis of Wu'an in 1403 AD for his contributions to the Jingnan Campaign.

Zheng Hong (Marquis of Wu'an): The grandson of the former, who inherited the title of Marquis of Wu'an in February 1446 AD during the eleventh year of the Zhengtong era.",Who was conferred the title of Marquis of Wu'an in the Western Han Dynasty?,Tian Fen,en,1,502,武安侯,https://zh.wikipedia.org/wiki/武安侯
zh,武安侯是一个曾经在多个王朝使用的封侯名，可以指以下人物：赵兴（先秦）：公元前222年，秦国灭赵国后，封赵奢孙赵兴为武安侯。刘邦：秦二世二年闰九月（公元前208年九月），楚怀王心封刘邦为武安侯。田蚡：西汉人物，汉武帝于建元元年（公元前140年）册封田蚡为武安侯，而后其子田恬因罪于公元前126年被除封。董猛：西晋人物，元康元年（公元291年）因为参与诛杀杨骏而预先获得武安侯爵位，而后于公元300年被诛同时除封。张定和：隋朝人物，公元601年以破突厥之功受封武安县开国侯（607年因为推行《大业令》废止），而后于公元609年被追封为武安侯。郑亨：明朝人物，因为靖难之役有功于永乐元年（公元1403年）获得武安侯。郑宏（武安侯）：明朝人物，前者之孙，正统十一年（1446年）二月继承武安侯爵。,西汉册封谁为武安侯？,田蚡,"Le titre de Marquis de Wu'an a été utilisé dans plusieurs dynasties et peut faire référence aux personnes suivantes :

Zhao Xing (période pré-Qin) : En 222 avant J.-C., après la conquête de l'État de Zhao par l'État de Qin, le petit-fils de Zhao She, Zhao Xing, a été fait Marquis de Wu'an.

Liu Bang : Au cours du neuvième mois intercalaire de la deuxième année du règne de Qin Er Shi (septembre 208 avant J.-C.), le roi Huai de Chu a conféré à Liu Bang le titre de Marquis de Wu'an.

Tian Fen : Personnage de la dynastie Han de l'Ouest, l'empereur Wu de Han a fait de Tian Fen le Marquis de Wu'an en 140 avant J.-C. Cependant, son fils Tian Tian a été déchu de son titre en 126 avant J.-C. pour un crime.

Dong Meng : Personnage de la dynastie Jin de l'Ouest, il a reçu le titre de Marquis de Wu'an à l'avance en 291 après J.-C. pour sa participation à l'assassinat de Yang Jun. Il a ensuite été exécuté et déchu de son titre en 300 après J.-C.

Zhang Dinghe : Personnage de la dynastie Sui, il a été fait Marquis fondateur du comté de Wu'an en 601 après J.-C. pour ses contributions à la défaite des Turcs (le titre a été aboli en 607 après J.-C. suite à la promulgation du ""Grand décret de Daye""). Il a ensuite reçu à titre posthume le titre de Marquis de Wu'an en 609 après J.-C.

Zheng Heng : Personnage de la dynastie Ming, il a été fait Marquis de Wu'an en 1403 après J.-C. pour ses mérites lors de la campagne de Jingnan.

Zheng Hong (Marquis de Wu'an) : Petit-fils du précédent, il a hérité du titre de Marquis de Wu'an en février 1446 après J.-C. (11e année de l'ère Zhengtong).",Qui a été fait Marquis de Wu'an sous la dynastie Han de l'Ouest ?,Tian Fen,fr,1,502,武安侯,https://zh.wikipedia.org/wiki/武安侯
zh,武安侯是一个曾经在多个王朝使用的封侯名，可以指以下人物：赵兴（先秦）：公元前222年，秦国灭赵国后，封赵奢孙赵兴为武安侯。刘邦：秦二世二年闰九月（公元前208年九月），楚怀王心封刘邦为武安侯。田蚡：西汉人物，汉武帝于建元元年（公元前140年）册封田蚡为武安侯，而后其子田恬因罪于公元前126年被除封。董猛：西晋人物，元康元年（公元291年）因为参与诛杀杨骏而预先获得武安侯爵位，而后于公元300年被诛同时除封。张定和：隋朝人物，公元601年以破突厥之功受封武安县开国侯（607年因为推行《大业令》废止），而后于公元609年被追封为武安侯。郑亨：明朝人物，因为靖难之役有功于永乐元年（公元1403年）获得武安侯。郑宏（武安侯）：明朝人物，前者之孙，正统十一年（1446年）二月继承武安侯爵。,西汉册封谁为武安侯？,田蚡,"ווֹאָן הוֹאוּ הוא תואר אצולה שהיה בשימוש במספר שושלות. הוא עשוי להתייחס לדמויות הבאות:

* גָ'או שִׂינְג (סין הקדם-קיסרית): בשנת 222 לפני הספירה, לאחר שמדינת צ'ין כבשה את מדינת גָ'או, היא העניקה לנכדו של גָ'או שְׁה, גָ'או שִׂינְג, את התואר ווֹאָן הוֹאוּ.
* לִיָאוּ בָּאנְג: בשנה השנייה למלכותו של צ'ין אָרְשִׁי חְוָאנְג דִי, בחודש ספטמבר (208 לפני הספירה), העניק מלך צ'וּ חְוָאי את התואר ווֹאָן הוֹאוּ לְלִיָאוּ בָּאנְג.
* טְייֵן פֿוּן: דמות מתקופת שושלת האן המערבית, שקיבל את התואר ווֹאָן הוֹאוּ מקיסר האן ווּ בשנת 140 לפני הספירה. מאוחר יותר, בשנת 126 לפני הספירה, נשלל התואר מבנו, טְייֵן טְייֵן, בשל פשע שביצע.
* דונְג מֶנְג: דמות מתקופת שושלת גִ'ין המערבית, שקיבל את תואר האצולה ווֹאָן הוֹאוּ מראש בשנת 291 לספירה על תפקידו בהריגת יָאנְג ג'וּן. מאוחר יותר, בשנת 300 לספירה, הוא הוצא להורג והתואר נשלל ממנו.
* גָ'אנְג דִינְגְחֶh: דמות מתקופת שושלת סְווֵי, שקיבל את התואר רוזן ווֹאָן בשנת 601 לספירה על הישגיו בקרב נגד הטורקים (התואר בוטל בשנת 607 בשל יישום ""צו דָאיֵה""). מאוחר יותר, בשנת 609 לספירה, הוענק לו התואר ווֹאָן הוֹאוּ לאחר מותו.
* גֶ'נְג חֶנְג: דמות מתקופת שושלת מינג, שקיבל את התואר ווֹאָן הוֹאוּ בשנת 1403 לספירה על תפקידו במרד גִ'ינְגְנָאן.
* גֶ'נְג חונְג (ווֹאָן הוֹאוּ): נכדו של הקודם, שירש את התואר ווֹאָן הוֹאוּ בפברואר 1446 לספירה.","מי קיבל את התואר ""המרקיז של ווֹאָן"" בתקופת שושלת האן המערבית?",טְייֵן פֿוּן,he,1,502,武安侯,https://zh.wikipedia.org/wiki/武安侯
zh,武安侯是一个曾经在多个王朝使用的封侯名，可以指以下人物：赵兴（先秦）：公元前222年，秦国灭赵国后，封赵奢孙赵兴为武安侯。刘邦：秦二世二年闰九月（公元前208年九月），楚怀王心封刘邦为武安侯。田蚡：西汉人物，汉武帝于建元元年（公元前140年）册封田蚡为武安侯，而后其子田恬因罪于公元前126年被除封。董猛：西晋人物，元康元年（公元291年）因为参与诛杀杨骏而预先获得武安侯爵位，而后于公元300年被诛同时除封。张定和：隋朝人物，公元601年以破突厥之功受封武安县开国侯（607年因为推行《大业令》废止），而后于公元609年被追封为武安侯。郑亨：明朝人物，因为靖难之役有功于永乐元年（公元1403年）获得武安侯。郑宏（武安侯）：明朝人物，前者之孙，正统十一年（1446年）二月继承武安侯爵。,西汉册封谁为武安侯？,田蚡,武安侯是一个曾经在多个王朝使用的封侯名，可以指以下人物：赵兴（先秦）：公元前222年，秦国灭赵国后，封赵奢孙赵兴为武安侯。刘邦：秦二世二年闰九月（公元前208年九月），楚怀王心封刘邦为武安侯。田蚡：西汉人物，汉武帝于建元元年（公元前140年）册封田蚡为武安侯，而后其子田恬因罪于公元前126年被除封。董猛：西晋人物，元康元年（公元291年）因为参与诛杀杨骏而预先获得武安侯爵位，而后于公元300年被诛同时除封。张定和：隋朝人物，公元601年以破突厥之功受封武安县开国侯（607年因为推行《大业令》废止），而后于公元609年被追封为武安侯。郑亨：明朝人物，因为靖难之役有功于永乐元年（公元1403年）获得武安侯。郑宏（武安侯）：明朝人物，前者之孙，正统十一年（1446年）二月继承武安侯爵。,西汉册封谁为武安侯？,田蚡,zh,0,502,武安侯,https://zh.wikipedia.org/wiki/武安侯
zh,武安侯是一个曾经在多个王朝使用的封侯名，可以指以下人物：赵兴（先秦）：公元前222年，秦国灭赵国后，封赵奢孙赵兴为武安侯。刘邦：秦二世二年闰九月（公元前208年九月），楚怀王心封刘邦为武安侯。田蚡：西汉人物，汉武帝于建元元年（公元前140年）册封田蚡为武安侯，而后其子田恬因罪于公元前126年被除封。董猛：西晋人物，元康元年（公元291年）因为参与诛杀杨骏而预先获得武安侯爵位，而后于公元300年被诛同时除封。张定和：隋朝人物，公元601年以破突厥之功受封武安县开国侯（607年因为推行《大业令》废止），而后于公元609年被追封为武安侯。郑亨：明朝人物，因为靖难之役有功于永乐元年（公元1403年）获得武安侯。郑宏（武安侯）：明朝人物，前者之孙，正统十一年（1446年）二月继承武安侯爵。,西汉册封谁为武安侯？,田蚡,"무안후는 여러 왕조에서 사용되었던 작위명으로, 다음 인물을 지칭할 수 있습니다.

조흥(선진): 기원전 222년, 진나라가 조나라를 멸망시킨 후, 조사의 손자인 조흥을 무안후로 봉함.
유방: 진 이세 2년 윤9월(기원전 208년 9월), 초 회왕 심이 유방을 무안후로 봉함.
전분: 서한 인물, 한 무제가 건원 원년(기원전 140년)에 전분을 무안후로 봉함. 이후 그의 아들 전천이 기원전 126년에 죄로 인해 작위가 박탈됨.
동맹: 서진 인물, 원강 원년(291년)에 양준을 죽인 공로로 미리 무안후 작위를 받았고, 이후 300년에 죽으면서 작위가 박탈됨.
장정화: 수나라 인물, 601년에 돌궐을 물리친 공로로 무안현 개국후에 봉해짐(607년에 대업령 시행으로 폐지됨). 이후 609년에 추증되어 무안후가 됨.
정형: 명나라 인물, 정난의 변에 공이 있어 영락 원년(1403년)에 무안후가 됨.
정굉(무안후): 명나라 인물, 전자의 손자, 정통 11년(1446년) 2월에 무안후 작위를 이어받음.",서한은 누구를 무안후로 봉했습니까?,전분,ko,1,502,武安侯,https://zh.wikipedia.org/wiki/武安侯
zh,武安侯是一个曾经在多个王朝使用的封侯名，可以指以下人物：赵兴（先秦）：公元前222年，秦国灭赵国后，封赵奢孙赵兴为武安侯。刘邦：秦二世二年闰九月（公元前208年九月），楚怀王心封刘邦为武安侯。田蚡：西汉人物，汉武帝于建元元年（公元前140年）册封田蚡为武安侯，而后其子田恬因罪于公元前126年被除封。董猛：西晋人物，元康元年（公元291年）因为参与诛杀杨骏而预先获得武安侯爵位，而后于公元300年被诛同时除封。张定和：隋朝人物，公元601年以破突厥之功受封武安县开国侯（607年因为推行《大业令》废止），而后于公元609年被追封为武安侯。郑亨：明朝人物，因为靖难之役有功于永乐元年（公元1403年）获得武安侯。郑宏（武安侯）：明朝人物，前者之孙，正统十一年（1446年）二月继承武安侯爵。,西汉册封谁为武安侯？,田蚡,"武安侯は、複数の王朝で使用された封号であり、以下の人物を指すことがあります。

趙興（先秦）：紀元前222年、秦が趙を滅ぼした後、趙奢の孫である趙興を武安侯に封じた。
劉邦：秦二世二年閏九月（紀元前208年9月）、楚の懐王が劉邦を武安侯に封じた。
田蚡：西漢の人物。漢の武帝は建元元年（紀元前140年）に田蚡を武安侯に封じ、その後、子の田恬は罪により紀元前126年に除封された。
董猛：西晋の人物。元康元年（291年）、楊駿誅殺に関与した功績により事前に武安侯の爵位を与えられ、その後、300年に誅殺され、同時に除封された。
張定和：隋の人物。601年に突厥を破った功績により武安県開国侯に封じられ（607年に「大業令」の施行により廃止）、その後、609年に追封されて武安侯となった。
鄭亨：明の人物。靖難の変での功績により、永楽元年（1403年）に武安侯の爵位を得た。
鄭宏（武安侯）：明の人物。前者の孫で、正統十一年（1446年）2月に武安侯の爵位を継承した。",西漢は誰を武安侯に封じましたか？,田蚡,ja,1,502,武安侯,https://zh.wikipedia.org/wiki/武安侯
zh,武安侯是一个曾经在多个王朝使用的封侯名，可以指以下人物：赵兴（先秦）：公元前222年，秦国灭赵国后，封赵奢孙赵兴为武安侯。刘邦：秦二世二年闰九月（公元前208年九月），楚怀王心封刘邦为武安侯。田蚡：西汉人物，汉武帝于建元元年（公元前140年）册封田蚡为武安侯，而后其子田恬因罪于公元前126年被除封。董猛：西晋人物，元康元年（公元291年）因为参与诛杀杨骏而预先获得武安侯爵位，而后于公元300年被诛同时除封。张定和：隋朝人物，公元601年以破突厥之功受封武安县开国侯（607年因为推行《大业令》废止），而后于公元609年被追封为武安侯。郑亨：明朝人物，因为靖难之役有功于永乐元年（公元1403年）获得武安侯。郑宏（武安侯）：明朝人物，前者之孙，正统十一年（1446年）二月继承武安侯爵。,西汉册封谁为武安侯？,田蚡,"El título de Marqués de Wu'an fue utilizado en varias dinastías y puede referirse a las siguientes personas:

Zhao Xing (Período de los Reinos Combatientes): En el 222 a. C., después de que el estado de Qin conquistara el estado de Zhao, Zhao She, nieto de Zhao Xing, fue nombrado Marqués de Wu'an.
Liu Bang: En septiembre del 208 a. C., durante el reinado del Segundo Emperador de Qin, el Rey Huai de Chu nombró a Liu Bang Marqués de Wu'an.
Tian Fen: Figura de la dinastía Han Occidental, el emperador Wu de Han nombró a Tian Fen Marqués de Wu'an en el 140 a. C. Más tarde, en el 126 a. C., su hijo Tian Tian fue destituido de su título debido a un delito.
Dong Meng: Figura de la dinastía Jin Occidental, fue nombrado Marqués de Wu'an en el 291 d. C. por su participación en el asesinato de Yang Jun. Más tarde, en el 300 d. C., fue ejecutado y su título fue revocado.
Zhang Dinghe: Figura de la dinastía Sui, fue nombrado Conde de Wu'an en el 601 d. C. por sus logros en la derrota de los turcos (su título fue abolido en el 607 d. C. debido a la implementación del Código Daye). Póstumamente, en el 609 d. C., fue nombrado Marqués de Wu'an.
Zheng Heng: Figura de la dinastía Ming, fue nombrado Marqués de Wu'an en el 1403 d. C. por sus contribuciones durante la Campaña Jingnan.
Zheng Hong (Marqués de Wu'an): Nieto del anterior, heredó el título de Marqués de Wu'an en febrero de 1446 d. C.",¿A quién nombró la dinastía Han Occidental como Marqués de Wu'an?,Tian Fen,es,1,502,武安侯,https://zh.wikipedia.org/wiki/武安侯
en,"AFN Bremerhaven was originally an ""Armed Forces Radio and Television Service"" (AFRTS) station. (AFRTS, worldwide, is now also known as ""American Forces Network"" or ""AFN"").  The Bremerhaven affiliate station was located in northern Germany. At the time, it was part of the ""American Forces Network - Europe.""  AFN Bremerhaven began broadcasting in 1945, originally as AFN Bremen.The station began operating just after World War II ended in Europe.  It was originally established in the north German city of Bremen in allied-occupied Germany as a small AM radio station with an AM repeater transmitter also broadcasting the station's signal in Bremerhaven, Germany, a port city on the Weser River near the entrance to the North Sea located just north of Bremen.== Military mission ==The radio station's mission was to provide information and entertainment to members of the American forces who were based in that part of northern Germany.  After World War II, the small north German US occupied area was originally known as the ""Bremen Enclave"", and it was an ""American island"" located in the portion of the newly formed West Germany that was originally occupied and controlled by British forces, (The British Occupation Zone of West Germany).== History ==Just after World War II, the port city of Bremerhaven was one of the major ports from where American forces embarked for return to the United States after fighting in the Second World War; later, the port brought US military personnel, their families, military equipment, as well as food and goods for the rebuilding of Europe to Germany via ships from the US.  Many of these shipments were, in part, in support of the Marshall Plan designed to assist and re-build war-torn Europe. Later, in the 1960s, and thereafter, most personnel movement was done via air travel.",In which country was AFN Bremerhaven located?,Germany,"AFN Bremerhaven was originally an ""Armed Forces Radio and Television Service"" (AFRTS) station. (AFRTS, worldwide, is now also known as ""American Forces Network"" or ""AFN"").  The Bremerhaven affiliate station was located in northern Germany. At the time, it was part of the ""American Forces Network - Europe.""  AFN Bremerhaven began broadcasting in 1945, originally as AFN Bremen.The station began operating just after World War II ended in Europe.  It was originally established in the north German city of Bremen in allied-occupied Germany as a small AM radio station with an AM repeater transmitter also broadcasting the station's signal in Bremerhaven, Germany, a port city on the Weser River near the entrance to the North Sea located just north of Bremen.== Military mission ==The radio station's mission was to provide information and entertainment to members of the American forces who were based in that part of northern Germany.  After World War II, the small north German US occupied area was originally known as the ""Bremen Enclave"", and it was an ""American island"" located in the portion of the newly formed West Germany that was originally occupied and controlled by British forces, (The British Occupation Zone of West Germany).== History ==Just after World War II, the port city of Bremerhaven was one of the major ports from where American forces embarked for return to the United States after fighting in the Second World War; later, the port brought US military personnel, their families, military equipment, as well as food and goods for the rebuilding of Europe to Germany via ships from the US.  Many of these shipments were, in part, in support of the Marshall Plan designed to assist and re-build war-torn Europe. Later, in the 1960s, and thereafter, most personnel movement was done via air travel.",In which country was AFN Bremerhaven located?,Germany,en,0,33,AFN Bremerhaven,https://en.wikipedia.org/wiki/AFN_Bremerhaven
en,"AFN Bremerhaven was originally an ""Armed Forces Radio and Television Service"" (AFRTS) station. (AFRTS, worldwide, is now also known as ""American Forces Network"" or ""AFN"").  The Bremerhaven affiliate station was located in northern Germany. At the time, it was part of the ""American Forces Network - Europe.""  AFN Bremerhaven began broadcasting in 1945, originally as AFN Bremen.The station began operating just after World War II ended in Europe.  It was originally established in the north German city of Bremen in allied-occupied Germany as a small AM radio station with an AM repeater transmitter also broadcasting the station's signal in Bremerhaven, Germany, a port city on the Weser River near the entrance to the North Sea located just north of Bremen.== Military mission ==The radio station's mission was to provide information and entertainment to members of the American forces who were based in that part of northern Germany.  After World War II, the small north German US occupied area was originally known as the ""Bremen Enclave"", and it was an ""American island"" located in the portion of the newly formed West Germany that was originally occupied and controlled by British forces, (The British Occupation Zone of West Germany).== History ==Just after World War II, the port city of Bremerhaven was one of the major ports from where American forces embarked for return to the United States after fighting in the Second World War; later, the port brought US military personnel, their families, military equipment, as well as food and goods for the rebuilding of Europe to Germany via ships from the US.  Many of these shipments were, in part, in support of the Marshall Plan designed to assist and re-build war-torn Europe. Later, in the 1960s, and thereafter, most personnel movement was done via air travel.",In which country was AFN Bremerhaven located?,Germany,"L'AFN Bremerhaven était à l'origine une station de ""Radio et Télévision des Forces Armées"" (AFRTS). (L'AFRTS, dans le monde entier, est désormais également connue sous le nom de ""American Forces Network"" ou ""AFN""). La station affiliée de Bremerhaven était située dans le nord de l'Allemagne. À l'époque, elle faisait partie du ""American Forces Network - Europe"". L'AFN Bremerhaven a commencé à émettre en 1945, initialement sous le nom d'AFN Bremen. La station a commencé à fonctionner juste après la fin de la Seconde Guerre mondiale en Europe. Elle a été initialement établie dans la ville de Brême, dans le nord de l'Allemagne, alors occupée par les Alliés, en tant que petite station de radio AM avec un émetteur répéteur AM diffusant également le signal de la station à Bremerhaven, en Allemagne, une ville portuaire sur le fleuve Weser près de l'entrée de la mer du Nord, située juste au nord de Brême.

== Mission militaire ==
La mission de la station de radio était de fournir des informations et des divertissements aux membres des forces américaines qui étaient basées dans cette partie du nord de l'Allemagne. Après la Seconde Guerre mondiale, la petite zone occupée par les États-Unis dans le nord de l'Allemagne était initialement connue sous le nom d'""enclave de Brême"", et c'était une ""île américaine"" située dans la partie de l'Allemagne de l'Ouest nouvellement formée qui était initialement occupée et contrôlée par les forces britanniques (la zone d'occupation britannique de l'Allemagne de l'Ouest).

== Histoire ==
Juste après la Seconde Guerre mondiale, la ville portuaire de Bremerhaven était l'un des principaux ports d'où les forces américaines embarquaient pour retourner aux États-Unis après avoir combattu pendant la Seconde Guerre mondiale ; plus tard, le port a amené en Allemagne, par bateau depuis les États-Unis, du personnel militaire américain, leurs familles, du matériel militaire, ainsi que de la nourriture et des biens pour la reconstruction de l'Europe. Nombre de ces expéditions étaient, en partie, destinées à soutenir le plan Marshall conçu pour aider et reconstruire l'Europe déchirée par la guerre. Plus tard, dans les années 1960 et par la suite, la plupart des mouvements de personnel se sont faits par avion.",Dans quel pays se trouvait l'AFN Bremerhaven ?,Allemagne,fr,1,33,AFN Bremerhaven,https://en.wikipedia.org/wiki/AFN_Bremerhaven
en,"AFN Bremerhaven was originally an ""Armed Forces Radio and Television Service"" (AFRTS) station. (AFRTS, worldwide, is now also known as ""American Forces Network"" or ""AFN"").  The Bremerhaven affiliate station was located in northern Germany. At the time, it was part of the ""American Forces Network - Europe.""  AFN Bremerhaven began broadcasting in 1945, originally as AFN Bremen.The station began operating just after World War II ended in Europe.  It was originally established in the north German city of Bremen in allied-occupied Germany as a small AM radio station with an AM repeater transmitter also broadcasting the station's signal in Bremerhaven, Germany, a port city on the Weser River near the entrance to the North Sea located just north of Bremen.== Military mission ==The radio station's mission was to provide information and entertainment to members of the American forces who were based in that part of northern Germany.  After World War II, the small north German US occupied area was originally known as the ""Bremen Enclave"", and it was an ""American island"" located in the portion of the newly formed West Germany that was originally occupied and controlled by British forces, (The British Occupation Zone of West Germany).== History ==Just after World War II, the port city of Bremerhaven was one of the major ports from where American forces embarked for return to the United States after fighting in the Second World War; later, the port brought US military personnel, their families, military equipment, as well as food and goods for the rebuilding of Europe to Germany via ships from the US.  Many of these shipments were, in part, in support of the Marshall Plan designed to assist and re-build war-torn Europe. Later, in the 1960s, and thereafter, most personnel movement was done via air travel.",In which country was AFN Bremerhaven located?,Germany,"AFN ברמרהאפן הייתה במקור תחנת ""שירות הרדיו והטלוויזיה של הכוחות המזוינים"" (AFRTS). (AFRTS, ברחבי העולם, ידועה כיום גם כ""רשת הכוחות האמריקאיים"" או ""AFN""). תחנת השותפים בברמרהאפן הייתה ממוקמת בצפון גרמניה. באותה תקופה, היא הייתה חלק מ""רשת הכוחות האמריקאיים - אירופה"". AFN ברמרהאפן החלה לשדר בשנת 1945, במקור כ-AFN ברמן. התחנה החלה לפעול מיד לאחר תום מלחמת העולם השנייה באירופה. היא הוקמה במקור בעיר ברמן בצפון גרמניה בגרמניה הכבושה על ידי בעלות הברית כתחנת רדיו AM קטנה עם משדר ממסר AM ששידר גם את אות התחנה בברמרהאפן, גרמניה, עיר נמל על נהר וסר ליד הכניסה לים הצפוני הממוקמת מעט צפונית לברמן.

== משימה צבאית ==

משימתה של תחנת הרדיו הייתה לספק מידע ובידור לחברי הכוחות האמריקאיים שהיו מוצבים באותו חלק בצפון גרמניה. לאחר מלחמת העולם השנייה, השטח הקטן בצפון גרמניה שהיה כבוש בידי ארה""ב נודע במקור בשם ""מובלעת ברמן"", והיה ""אי אמריקאי"" הממוקם בחלק של גרמניה המערבית שהוקמה לאחרונה, שהיה כבוש ומפוקח במקור על ידי כוחות בריטיים, (אזור הכיבוש הבריטי בגרמניה המערבית).

== היסטוריה ==

מיד לאחר מלחמת העולם השנייה, עיר הנמל ברמרהאפן הייתה אחד הנמלים העיקריים שממנו הפליגו הכוחות האמריקאיים חזרה לארצות הברית לאחר הלחימה במלחמת העולם השנייה; מאוחר יותר, הנמל הביא לגרמניה אנשי צבא אמריקאים, משפחותיהם, ציוד צבאי, כמו גם מזון וסחורות לשיקום אירופה באמצעות אוניות מארה""ב. רבות ממשלוחים אלה היו, בחלקם, בתמיכת תוכנית מרשל שנועדה לסייע ולהקים מחדש את אירופה ההרוסה במלחמה. מאוחר יותר, בשנות ה-60 ולאחר מכן, רוב תנועת אנשי הצוות התבצעה באמצעות נסיעות אוויריות.",באיזו מדינה הייתה ממוקמת AFN ברמרהאפן?,גרמניה,he,1,33,AFN Bremerhaven,https://en.wikipedia.org/wiki/AFN_Bremerhaven
