question,answer,relation,subject,object,q_index,prompt_id,q_id
¿Qué instrumento musical toca Nat King Cole?,piano,instrument,Nat King Cole,piano,4757,1,4757_1
¿Por qué instrumento es conocido Jimmy Page por tocar?,violín,instrument,Jimmy Page,violín,4758,3,4758_3
¿Qué instrumento musical toca Neil Young?,armónica,instrument,Neil Young,armónica,4759,1,4759_1
¿Qué instrumento toca Aretha Franklin?,piano,instrument,Aretha Franklin,piano,4760,0,4760_0
¿Qué instrumento toca Louis Bernstein?,piano,instrument,Louis Bernstein,piano,4761,0,4761_0
¿En qué instrumento musical es Eric Clapton hábil?,violín,instrument,Eric Clapton,violín,4762,4,4762_4
¿Qué usa Emmanuel Chabrier para crear música?,piano,instrument,Emmanuel Chabrier,piano,4763,2,4763_2
¿Qué instrumento musical toca Serge Gainsbourg?,guitarra,instrument,Serge Gainsbourg,guitarra,4764,1,4764_1
¿Qué instrumento toca Edvard Grieg?,piano,instrument,Edvard Grieg,piano,4765,0,4765_0
¿Qué instrumento toca Itzhak Perlman?,violín,instrument,Itzhak Perlman,violín,4766,0,4766_0
¿Qué instrumento toca George Martin?,piano,instrument,George Martin,piano,4767,0,4767_0
¿Qué instrumento musical toca Bob Dylan?,armónica,instrument,Bob Dylan,armónica,4768,1,4768_1
¿Por qué instrumento es conocido Mike Shinoda por tocar?,guitarra,instrument,Mike Shinoda,guitarra,4769,3,4769_3
¿En qué instrumento musical es Jared Leto hábil?,guitarra,instrument,Jared Leto,guitarra,4770,4,4770_4
¿Qué usa Wolfgang Amadeus Mozart para crear música?,viola,instrument,Wolfgang Amadeus Mozart,viola,4771,2,4771_2
¿Qué instrumento toca Philip Glass?,piano,instrument,Philip Glass,piano,4772,0,4772_0
¿Qué instrumento musical toca Giuseppe Tartini?,violín,instrument,Giuseppe Tartini,violín,4773,1,4773_1
¿En qué instrumento musical es Francis Poulenc hábil?,piano,instrument,Francis Poulenc,piano,4774,4,4774_4
¿Qué instrumento toca Brad Delson?,guitarra,instrument,Brad Delson,guitarra,4775,0,4775_0
¿Qué usa Lady Gaga para crear música?,piano,instrument,Lady Gaga,piano,4776,2,4776_2
¿Qué instrumento toca Elvis Presley?,guitarra,instrument,Elvis Presley,guitarra,4777,0,4777_0
¿Qué instrumento toca Johann Strauss?,violín,instrument,Johann Strauss,violín,4778,0,4778_0
¿En qué instrumento musical es Leonard Cohen hábil?,guitarra,instrument,Leonard Cohen,guitarra,4779,4,4779_4
¿Qué usa George Gershwin para crear música?,piano,instrument,George Gershwin,piano,4780,2,4780_2
¿Qué usa Ernest Chausson para crear música?,piano,instrument,Ernest Chausson,piano,4781,2,4781_2
¿Qué instrumento musical toca Celine Dion?,piano,instrument,Celine Dion,piano,4782,1,4782_1
¿Qué instrumento musical toca Bruce Springsteen?,armónica,instrument,Bruce Springsteen,armónica,4783,1,4783_1
¿Por qué instrumento es conocido Carl Czerny por tocar?,piano,instrument,Carl Czerny,piano,4784,3,4784_3
¿Qué instrumento musical toca Antonio Vivaldi?,violín,instrument,Antonio Vivaldi,violín,4785,1,4785_1
¿Qué instrumento musical toca Jimi Hendrix?,guitarra,instrument,Jimi Hendrix,guitarra,4786,1,4786_1
¿Por qué instrumento es conocido Paul Hindemith por tocar?,viola,instrument,Paul Hindemith,viola,4787,3,4787_3
