Unnamed: 0,sourceMDD>targetMDD,is_q_topic_history,is_q_topic_tech,is_q_type_date_time,correct_target
0,True,False,False,False,True
1,True,True,False,False,False
2,True,False,False,False,False
3,False,False,False,True,True
4,True,False,False,False,False
5,True,False,False,False,False
6,True,False,False,False,True
7,True,False,False,False,False
8,True,False,False,False,False
9,True,True,False,True,True
10,False,False,False,True,False
11,False,True,False,False,True
12,False,False,False,False,True
13,False,False,False,False,True
14,True,False,False,False,False
15,True,True,False,True,True
16,False,True,False,True,False
17,True,False,False,True,True
18,True,False,False,False,True
19,False,False,False,False,True
20,False,False,False,True,False
21,True,True,False,False,False
22,True,False,False,False,False
23,True,False,False,False,False
24,False,False,False,False,False
25,False,False,False,False,True
26,False,False,False,True,True
27,False,False,False,False,True
28,True,True,False,True,True
29,False,False,False,False,False
30,False,False,False,False,True
31,False,False,False,False,False
32,False,False,False,False,False
33,False,True,False,False,False
34,False,False,False,False,False
35,True,True,False,False,True
36,True,False,False,False,True
37,False,False,False,False,True
38,True,False,False,False,True
39,False,False,False,False,True
40,False,True,False,False,False
41,False,False,False,False,True
42,False,False,False,True,True
43,False,False,False,False,True
44,False,False,False,False,True
45,False,False,False,False,True
46,False,False,False,False,False
47,False,False,False,False,False
48,False,True,False,True,True
49,False,False,False,True,True
50,False,True,False,False,True
51,False,False,False,False,True
52,False,False,False,False,True
53,False,False,False,False,True
54,False,True,False,True,True
55,False,True,False,True,False
56,False,False,False,True,True
57,False,False,False,False,True
58,False,False,False,False,True
59,False,False,False,True,True
60,False,True,False,False,True
61,False,False,False,False,True
62,False,False,False,False,False
63,False,False,False,False,False
64,False,False,False,False,True
65,False,False,False,True,True
66,False,False,False,False,True
67,False,True,False,True,False
68,False,False,False,False,False
69,False,False,False,False,True
70,False,False,False,False,False
71,False,False,False,False,True
72,False,True,False,False,False
73,False,False,False,False,False
74,False,True,False,False,True
75,False,False,False,False,True
76,False,False,False,False,True
77,False,False,False,False,True
78,False,False,False,False,True
79,True,True,False,False,False
80,True,False,False,False,False
81,True,False,False,True,True
82,True,False,False,False,False
83,True,False,False,False,False
84,True,False,False,False,True
85,False,False,False,False,False
86,True,False,False,False,False
87,True,True,False,True,True
88,False,False,False,True,False
89,True,True,False,False,True
90,False,False,False,False,True
91,False,False,False,False,True
92,True,False,False,False,True
93,True,True,False,True,True
94,False,True,False,True,False
95,True,False,False,True,True
96,False,False,False,False,True
97,True,False,False,False,True
98,False,False,False,True,True
99,True,True,False,False,False
100,True,False,False,False,False
101,True,False,False,False,False
102,True,False,False,False,False
103,True,False,False,False,True
104,True,False,False,True,True
105,False,False,False,False,True
106,True,True,False,True,False
107,True,False,False,False,False
108,False,False,False,False,True
109,False,False,False,False,False
110,False,False,False,False,False
111,False,True,False,False,False
112,True,False,False,False,False
113,True,True,False,False,True
114,True,False,False,False,True
115,False,False,False,False,True
116,True,False,False,False,True
117,True,False,False,False,True
118,False,True,False,False,False
119,True,False,False,False,True
120,True,False,False,True,True
121,True,False,False,False,False
122,True,False,False,False,False
123,True,False,False,False,True
124,True,False,False,False,False
125,True,False,False,False,False
126,True,True,False,True,True
127,False,False,False,True,True
128,True,True,False,False,True
129,True,False,False,False,True
130,False,False,False,False,True
131,True,False,False,False,False
132,True,True,False,True,True
133,True,True,False,True,False
134,False,False,False,True,True
135,True,False,False,False,True
136,False,False,False,False,False
137,True,False,False,True,True
138,True,True,False,False,True
139,True,False,False,False,True
140,True,False,False,False,False
141,True,False,False,False,False
142,True,False,False,False,True
143,True,False,False,True,True
144,False,False,False,False,False
145,False,True,False,True,False
146,True,False,False,False,False
147,False,False,False,False,True
148,True,False,False,False,False
149,False,False,False,False,True
150,False,True,False,False,True
151,True,False,False,False,False
152,True,True,False,False,True
153,True,False,False,False,True
154,False,False,False,False,True
155,False,False,False,False,True
156,False,False,False,False,True
157,True,True,False,False,False
158,True,False,False,False,False
159,True,False,False,True,False
160,True,False,False,False,False
161,True,False,False,False,False
162,True,False,False,False,True
163,True,False,False,False,False
164,True,False,False,False,False
165,True,True,False,True,True
166,True,False,False,True,False
167,True,True,False,False,False
168,False,False,False,False,True
169,True,False,False,False,True
170,True,False,False,False,False
171,True,True,False,True,True
172,False,True,False,True,False
173,True,False,False,True,False
174,True,False,False,False,False
175,True,False,False,False,True
176,False,False,False,True,True
177,True,True,False,False,False
178,True,False,False,False,False
179,True,False,False,False,False
180,True,False,False,False,False
181,True,False,False,False,True
