question,answer,relation,subject,object,q_index,prompt_id,q_id
¿Qué instrumento toca Nat King Cole?,piano,instrument,Nat King Cole,piano,4757,0,4757_0
¿Qué instrumento musical toca Nat King Cole?,piano,instrument,Nat King Cole,piano,4757,1,4757_1
¿Qué usa Nat King Cole para crear música?,piano,instrument,Nat King Cole,piano,4757,2,4757_2
¿Por qué instrumento es conocido Nat King Cole por tocar?,piano,instrument,Nat King Cole,piano,4757,3,4757_3
¿En qué instrumento musical es Nat King Cole hábil?,piano,instrument,Nat King Cole,piano,4757,4,4757_4
¿Qué instrumento toca Jimmy Page?,violín,instrument,Jimmy Page,violín,4758,0,4758_0
¿Qué instrumento musical toca Jimmy Page?,violín,instrument,Jimmy Page,violín,4758,1,4758_1
¿Qué usa Jimmy Page para crear música?,violín,instrument,Jimmy Page,violín,4758,2,4758_2
¿Por qué instrumento es conocido Jimmy Page por tocar?,violín,instrument,Jimmy Page,violín,4758,3,4758_3
¿En qué instrumento musical es Jimmy Page hábil?,violín,instrument,Jimmy Page,violín,4758,4,4758_4
¿Qué instrumento toca Neil Young?,armónica,instrument,Neil Young,armónica,4759,0,4759_0
¿Qué instrumento musical toca Neil Young?,armónica,instrument,Neil Young,armónica,4759,1,4759_1
¿Qué usa Neil Young para crear música?,armónica,instrument,Neil Young,armónica,4759,2,4759_2
¿Por qué instrumento es conocido Neil Young por tocar?,armónica,instrument,Neil Young,armónica,4759,3,4759_3
¿En qué instrumento musical es Neil Young hábil?,armónica,instrument,Neil Young,armónica,4759,4,4759_4
¿Qué instrumento toca Aretha Franklin?,piano,instrument,Aretha Franklin,piano,4760,0,4760_0
¿Qué instrumento musical toca Aretha Franklin?,piano,instrument,Aretha Franklin,piano,4760,1,4760_1
¿Qué usa Aretha Franklin para crear música?,piano,instrument,Aretha Franklin,piano,4760,2,4760_2
¿Por qué instrumento es conocido Aretha Franklin por tocar?,piano,instrument,Aretha Franklin,piano,4760,3,4760_3
¿En qué instrumento musical es Aretha Franklin hábil?,piano,instrument,Aretha Franklin,piano,4760,4,4760_4
¿Qué instrumento toca Louis Bernstein?,piano,instrument,Louis Bernstein,piano,4761,0,4761_0
¿Qué instrumento musical toca Louis Bernstein?,piano,instrument,Louis Bernstein,piano,4761,1,4761_1
¿Qué usa Louis Bernstein para crear música?,piano,instrument,Louis Bernstein,piano,4761,2,4761_2
¿Por qué instrumento es conocido Louis Bernstein por tocar?,piano,instrument,Louis Bernstein,piano,4761,3,4761_3
¿En qué instrumento musical es Louis Bernstein hábil?,piano,instrument,Louis Bernstein,piano,4761,4,4761_4
¿Qué instrumento toca Eric Clapton?,violín,instrument,Eric Clapton,violín,4762,0,4762_0
¿Qué instrumento musical toca Eric Clapton?,violín,instrument,Eric Clapton,violín,4762,1,4762_1
¿Qué usa Eric Clapton para crear música?,violín,instrument,Eric Clapton,violín,4762,2,4762_2
¿Por qué instrumento es conocido Eric Clapton por tocar?,violín,instrument,Eric Clapton,violín,4762,3,4762_3
¿En qué instrumento musical es Eric Clapton hábil?,violín,instrument,Eric Clapton,violín,4762,4,4762_4
