question,answer,relation,subject,object,q_index,prompt_id,q_id
纳·京·高尔 演奏哪种乐器？,钢琴,instrument,纳·京·高尔,钢琴,4757,1,4757_1
吉米·佩奇 以演奏哪种乐器而闻名？,小提琴,instrument,吉米·佩奇,小提琴,4758,3,4758_3
尼尔·杨 演奏哪种乐器？,口琴,instrument,尼尔·杨,口琴,4759,1,4759_1
艾瑞莎·弗兰克林 演奏什么乐器？,钢琴,instrument,艾瑞莎·弗兰克林,钢琴,4760,0,4760_0
伦纳德·伯恩斯坦 演奏什么乐器？,钢琴,instrument,伦纳德·伯恩斯坦,钢琴,4761,0,4761_0
埃里克·克莱普顿 擅长使用哪种乐器？,小提琴,instrument,埃里克·克莱普顿,小提琴,4762,4,4762_4
艾曼纽·夏布里耶 用什么来创作音乐？,钢琴,instrument,艾曼纽·夏布里耶,钢琴,4763,2,4763_2
赛日·甘斯布 演奏哪种乐器？,吉他,instrument,赛日·甘斯布,吉他,4764,1,4764_1
爱德华·格里格 演奏什么乐器？,钢琴,instrument,爱德华·格里格,钢琴,4765,0,4765_0
伊扎克·帕尔曼 演奏什么乐器？,小提琴,instrument,伊扎克·帕尔曼,小提琴,4766,0,4766_0
乔治·马丁 演奏什么乐器？,钢琴,instrument,乔治·马丁,钢琴,4767,0,4767_0
鲍勃·迪伦 演奏哪种乐器？,口琴,instrument,鲍勃·迪伦,口琴,4768,1,4768_1
麦克·篠田 以演奏哪种乐器而闻名？,吉他,instrument,麦克·篠田,吉他,4769,3,4769_3
杰瑞德·莱托 擅长使用哪种乐器？,吉他,instrument,杰瑞德·莱托,吉他,4770,4,4770_4
沃尔夫冈·阿马德乌斯·莫扎特 用什么来创作音乐？,中提琴,instrument,沃尔夫冈·阿马德乌斯·莫扎特,中提琴,4771,2,4771_2
菲利普·格拉斯 演奏什么乐器？,钢琴,instrument,菲利普·格拉斯,钢琴,4772,0,4772_0
朱塞佩·塔替尼 演奏哪种乐器？,小提琴,instrument,朱塞佩·塔替尼,小提琴,4773,1,4773_1
弗朗西斯·普朗克 擅长使用哪种乐器？,钢琴,instrument,弗朗西斯·普朗克,钢琴,4774,4,4774_4
布莱德·达尔森 演奏什么乐器？,吉他,instrument,布莱德·达尔森,吉他,4775,0,4775_0
嘎嘎小姐 用什么来创作音乐？,钢琴,instrument,嘎嘎小姐,钢琴,4776,2,4776_2
埃尔维斯·亚伦·普雷斯利 演奏什么乐器？,吉他,instrument,埃尔维斯·亚伦·普雷斯利,吉他,4777,0,4777_0
老约翰·施特劳斯 演奏什么乐器？,小提琴,instrument,老约翰·施特劳斯,小提琴,4778,0,4778_0
里奥纳德·科恩 擅长使用哪种乐器？,吉他,instrument,里奥纳德·科恩,吉他,4779,4,4779_4
乔治·雅各布·格甚温 用什么来创作音乐？,钢琴,instrument,乔治·雅各布·格甚温,钢琴,4780,2,4780_2
欧内斯特·肖松 用什么来创作音乐？,钢琴,instrument,欧内斯特·肖松,钢琴,4781,2,4781_2
席琳·狄翁 演奏哪种乐器？,钢琴,instrument,席琳·狄翁,钢琴,4782,1,4782_1
布鲁斯·斯普林斯廷 演奏哪种乐器？,口琴,instrument,布鲁斯·斯普林斯廷,口琴,4783,1,4783_1
卡尔·车尔尼 以演奏哪种乐器而闻名？,钢琴,instrument,卡尔·车尔尼,钢琴,4784,3,4784_3
安东尼奥·维瓦尔第 演奏哪种乐器？,小提琴,instrument,安东尼奥·维瓦尔第,小提琴,4785,1,4785_1
吉米·亨德里克斯 演奏哪种乐器？,吉他,instrument,吉米·亨德里克斯,吉他,4786,1,4786_1
保罗·欣德米特 以演奏哪种乐器而闻名？,中提琴,instrument,保罗·欣德米特,中提琴,4787,3,4787_3
约翰·柯川 擅长使用哪种乐器？,单簧管,instrument,约翰·柯川,单簧管,4788,4,4788_4
乔治·埃内斯库 用什么来创作音乐？,小提琴,instrument,乔治·埃内斯库,小提琴,4789,2,4789_2
保罗·麦卡特尼 以演奏哪种乐器而闻名？,钢琴,instrument,保罗·麦卡特尼,钢琴,4790,3,4790_3
托马索·阿尔比诺尼 演奏哪种乐器？,小提琴,instrument,托马索·阿尔比诺尼,小提琴,4791,1,4791_1
罗伯特·舒曼 擅长使用哪种乐器？,钢琴,instrument,罗伯特·舒曼,钢琴,4792,4,4792_4
阿图尔·鲁宾斯坦 演奏哪种乐器？,钢琴,instrument,阿图尔·鲁宾斯坦,钢琴,4793,1,4793_1
塞隆尼斯·孟克 以演奏哪种乐器而闻名？,钢琴,instrument,塞隆尼斯·孟克,钢琴,4794,3,4794_3
麦克·篠田 用什么来创作音乐？,钢琴,instrument,麦克·篠田,钢琴,4795,2,4795_2
埃里克·克莱普顿 擅长使用哪种乐器？,吉他,instrument,埃里克·克莱普顿,吉他,4796,4,4796_4
弗朗茨·李斯特 演奏哪种乐器？,钢琴,instrument,弗朗茨·李斯特,钢琴,4797,1,4797_1
