question,answer,relation,subject,object,q_index,prompt_id,q_id
ナット・キング・コールはどの楽器を演奏しますか？,ピアノ,instrument,ナット・キング・コール,ピアノ,4757,1,4757_1
ジミー・ペイジはどの楽器で演奏で知られていますか？,ヴァイオリン,instrument,ジミー・ペイジ,ヴァイオリン,4758,3,4758_3
ニール・ヤングはどの楽器を演奏しますか？,ハーモニカ,instrument,ニール・ヤング,ハーモニカ,4759,1,4759_1
アレサ・フランクリンはどんな楽器を演奏しますか？,ピアノ,instrument,アレサ・フランクリン,ピアノ,4760,0,4760_0
レナード・バーンスタインはどんな楽器を演奏しますか？,ピアノ,instrument,レナード・バーンスタイン,ピアノ,4761,0,4761_0
エリック・クラプトンはどの音楽ツールに巧みですか？,ヴァイオリン,instrument,エリック・クラプトン,ヴァイオリン,4762,4,4762_4
エマニュエル・シャブリエは音楽を作成するために何を使用しますか？,ピアノ,instrument,エマニュエル・シャブリエ,ピアノ,4763,2,4763_2
セルジュ・ゲンスブールはどの楽器を演奏しますか？,ギター,instrument,セルジュ・ゲンスブール,ギター,4764,1,4764_1
エドヴァルド・グリーグはどんな楽器を演奏しますか？,ピアノ,instrument,エドヴァルド・グリーグ,ピアノ,4765,0,4765_0
イツァーク・パールマンはどんな楽器を演奏しますか？,ヴァイオリン,instrument,イツァーク・パールマン,ヴァイオリン,4766,0,4766_0
ジョージ・マーティンはどんな楽器を演奏しますか？,ピアノ,instrument,ジョージ・マーティン,ピアノ,4767,0,4767_0
ボブ・ディランはどの楽器を演奏しますか？,ハーモニカ,instrument,ボブ・ディラン,ハーモニカ,4768,1,4768_1
マイク・シノダはどの楽器で演奏で知られていますか？,ギター,instrument,マイク・シノダ,ギター,4769,3,4769_3
ジャレッド・レトはどの音楽ツールに巧みですか？,ギター,instrument,ジャレッド・レト,ギター,4770,4,4770_4
ヴォルフガング・アマデウス・モーツァルトは音楽を作成するために何を使用しますか？,ヴィオラ,instrument,ヴォルフガング・アマデウス・モーツァルト,ヴィオラ,4771,2,4771_2
フィリップ・グラスはどんな楽器を演奏しますか？,ピアノ,instrument,フィリップ・グラス,ピアノ,4772,0,4772_0
ジュゼッペ・タルティーニはどの楽器を演奏しますか？,ヴァイオリン,instrument,ジュゼッペ・タルティーニ,ヴァイオリン,4773,1,4773_1
フランシス・プーランクはどの音楽ツールに巧みですか？,ピアノ,instrument,フランシス・プーランク,ピアノ,4774,4,4774_4
ブラッド・デルソンはどんな楽器を演奏しますか？,ギター,instrument,ブラッド・デルソン,ギター,4775,0,4775_0
レディー・ガガは音楽を作成するために何を使用しますか？,ピアノ,instrument,レディー・ガガ,ピアノ,4776,2,4776_2
エルヴィス・プレスリーはどんな楽器を演奏しますか？,ギター,instrument,エルヴィス・プレスリー,ギター,4777,0,4777_0
ヨハン・シュトラウス1世はどんな楽器を演奏しますか？,ヴァイオリン,instrument,ヨハン・シュトラウス1世,ヴァイオリン,4778,0,4778_0
レナード・コーエンはどの音楽ツールに巧みですか？,ギター,instrument,レナード・コーエン,ギター,4779,4,4779_4
ジョージ・ガーシュウィンは音楽を作成するために何を使用しますか？,ピアノ,instrument,ジョージ・ガーシュウィン,ピアノ,4780,2,4780_2
エルネスト・ショーソンは音楽を作成するために何を使用しますか？,ピアノ,instrument,エルネスト・ショーソン,ピアノ,4781,2,4781_2
セリーヌ・ディオンはどの楽器を演奏しますか？,ピアノ,instrument,セリーヌ・ディオン,ピアノ,4782,1,4782_1
ブルース・スプリングスティーンはどの楽器を演奏しますか？,ハーモニカ,instrument,ブルース・スプリングスティーン,ハーモニカ,4783,1,4783_1
カール・ツェルニーはどの楽器で演奏で知られていますか？,ピアノ,instrument,カール・ツェルニー,ピアノ,4784,3,4784_3
アントニオ・ヴィヴァルディはどの楽器を演奏しますか？,ヴァイオリン,instrument,アントニオ・ヴィヴァルディ,ヴァイオリン,4785,1,4785_1
ジミ・ヘンドリックスはどの楽器を演奏しますか？,ギター,instrument,ジミ・ヘンドリックス,ギター,4786,1,4786_1
パウル・ヒンデミットはどの楽器で演奏で知られていますか？,ヴィオラ,instrument,パウル・ヒンデミット,ヴィオラ,4787,3,4787_3
ジョン・コルトレーンはどの音楽ツールに巧みですか？,クラリネット,instrument,ジョン・コルトレーン,クラリネット,4788,4,4788_4
ジョルジェ・エネスクは音楽を作成するために何を使用しますか？,ヴァイオリン,instrument,ジョルジェ・エネスク,ヴァイオリン,4789,2,4789_2
ポール・マッカートニーはどの楽器で演奏で知られていますか？,ピアノ,instrument,ポール・マッカートニー,ピアノ,4790,3,4790_3
トマゾ・アルビノーニはどの楽器を演奏しますか？,ヴァイオリン,instrument,トマゾ・アルビノーニ,ヴァイオリン,4791,1,4791_1
ロベルト・シューマンはどの音楽ツールに巧みですか？,ピアノ,instrument,ロベルト・シューマン,ピアノ,4792,4,4792_4
アルトゥール・ルービンシュタインはどの楽器を演奏しますか？,ピアノ,instrument,アルトゥール・ルービンシュタイン,ピアノ,4793,1,4793_1
セロニアス・モンクはどの楽器で演奏で知られていますか？,ピアノ,instrument,セロニアス・モンク,ピアノ,4794,3,4794_3
マイク・シノダは音楽を作成するために何を使用しますか？,ピアノ,instrument,マイク・シノダ,ピアノ,4795,2,4795_2
エリック・クラプトンはどの音楽ツールに巧みですか？,ギター,instrument,エリック・クラプトン,ギター,4796,4,4796_4
フランツ・リストはどの楽器を演奏しますか？,ピアノ,instrument,フランツ・リスト,ピアノ,4797,1,4797_1
スティーヴィー・ワンダーはどの楽器を演奏しますか？,ハーモニカ,instrument,スティーヴィー・ワンダー,ハーモニカ,4798,1,4798_1
ジャレッド・レトはどんな楽器を演奏しますか？,ヴァイオリン,instrument,ジャレッド・レト,ヴァイオリン,4799,0,4799_0
ヨハネス・ブラームスはどの楽器で演奏で知られていますか？,ピアノ,instrument,ヨハネス・ブラームス,ピアノ,4800,3,4800_3
レイ・チャールズはどんな楽器を演奏しますか？,ピアノ,instrument,レイ・チャールズ,ピアノ,4801,0,4801_0
ブライアン・メイはどの音楽ツールに巧みですか？,ギター,instrument,ブライアン・メイ,ギター,4802,4,4802_4
釈迦が関与している宗教はどれですか？,仏教,religion,釈迦,仏教,4632,4,4632_4
アウグスティヌスの宗教的信念は何ですか？,キリスト教,religion,アウグスティヌス,キリスト教,4633,1,4633_1
アルバニア人の宗教的信念は何ですか？,ムスリム,religion,アルバニア人,ムスリム,4634,1,4634_1
ベーダ・ヴェネラビリスはどの宗教に所属していますか？,キリスト教,religion,ベーダ・ヴェネラビリス,キリスト教,4635,0,4635_0
コンスタンティヌス1世が関与している宗教はどれですか？,キリスト教,religion,コンスタンティヌス1世,キリスト教,4636,4,4636_4
ヤコブが関与している宗教はどれですか？,ユダヤ教,religion,ヤコブ,ユダヤ教,4637,4,4637_4
主教が関与している宗教はどれですか？,キリスト教,religion,主教,キリスト教,4638,4,4638_4
ホノリウス3世はどの信仰を持っていますか？,キリスト教,religion,ホノリウス3世,キリスト教,4639,2,4639_2
グレゴリウス9世はどの信仰を持っていますか？,キリスト教,religion,グレゴリウス9世,キリスト教,4640,2,4640_2
アフガニスタンが関与している宗教はどれですか？,イスラム教,religion,アフガニスタン,イスラム教,4641,4,4641_4
イエス・キリストの宗教的信念は何ですか？,ユダヤ教,religion,イエス・キリスト,ユダヤ教,4642,1,4642_1
アラブ人が関与している宗教はどれですか？,イスラム教,religion,アラブ人,イスラム教,4643,4,4643_4
イブン・バットゥータの宗教的信念は何ですか？,イスラム教,religion,イブン・バットゥータ,イスラム教,4644,1,4644_1
ムハンマド・イブン＝アブドゥッラーフが関与している宗教はどれですか？,イスラム教,religion,ムハンマド・イブン＝アブドゥッラーフ,イスラム教,4645,4,4645_4
ムスリムはどの宗教に所属していますか？,イスラム教,religion,ムスリム,イスラム教,4646,0,4646_0
モーシェ・ベン＝マイモーンはどの宗教に所属していますか？,ユダヤ教,religion,モーシェ・ベン＝マイモーン,ユダヤ教,4647,0,4647_0
マルコム・Xが行っている宗教は何ですか？,イスラム教,religion,マルコム・X,イスラム教,4648,3,4648_3
ウズベクはどの宗教に所属していますか？,イスラム教,religion,ウズベク,イスラム教,4649,0,4649_0
シナゴーグの宗教的信念は何ですか？,ユダヤ教,religion,シナゴーグ,ユダヤ教,4650,1,4650_1
メフメト4世はどの宗教に所属していますか？,イスラム教,religion,メフメト4世,イスラム教,4651,0,4651_0
アブラハムはどの宗教に所属していますか？,ユダヤ教,religion,アブラハム,ユダヤ教,4652,0,4652_0
イブン・ルシュドが行っている宗教は何ですか？,イスラム教,religion,イブン・ルシュド,イスラム教,4653,3,4653_3
イブン・ハルドゥーンはどの宗教に所属していますか？,イスラム教,religion,イブン・ハルドゥーン,イスラム教,4654,0,4654_0
ダビデが行っている宗教は何ですか？,ユダヤ教,religion,ダビデ,ユダヤ教,4655,3,4655_3
スレイマン1世の宗教的信念は何ですか？,イスラム教,religion,スレイマン1世,イスラム教,4656,1,4656_1
アラブ人はどの宗教に所属していますか？,キリスト教,religion,アラブ人,キリスト教,4657,0,4657_0
ジャラール・ウッディーン・ルーミーはどの宗教に所属していますか？,イスラム教,religion,ジャラール・ウッディーン・ルーミー,イスラム教,4658,0,4658_0
ガザーリーはどの信仰を持っていますか？,イスラム教,religion,ガザーリー,イスラム教,4659,2,4659_2
ウマイヤ朝はどの信仰を持っていますか？,イスラム教,religion,ウマイヤ朝,イスラム教,4660,2,4660_2
イシュトヴァーン1世はどの信仰を持っていますか？,キリスト教,religion,イシュトヴァーン1世,キリスト教,4661,2,4661_2
カール大帝の宗教的信念は何ですか？,キリスト教,religion,カール大帝,キリスト教,4662,1,4662_1
セブンスデー・アドベンチスト教会はどの宗教に所属していますか？,キリスト教,religion,セブンスデー・アドベンチスト教会,キリスト教,4663,0,4663_0
ウラジーミル1世の宗教的信念は何ですか？,キリスト教,religion,ウラジーミル1世,キリスト教,4664,1,4664_1
聖墳墓教会はどの信仰を持っていますか？,キリスト教,religion,聖墳墓教会,キリスト教,4665,2,4665_2
ムアーウィヤの宗教的信念は何ですか？,イスラム教,religion,ムアーウィヤ,イスラム教,4666,1,4666_1
クロヴィス1世はどの宗教に所属していますか？,キリスト教,religion,クロヴィス1世,キリスト教,4667,0,4667_0
唐はどの宗教に所属していますか？,仏教,religion,唐,仏教,4668,0,4668_0
ウマル・イブン・ハッターブはどの信仰を持っていますか？,イスラム教,religion,ウマル・イブン・ハッターブ,イスラム教,4669,2,4669_2
ムハンマド・イクバールはどの信仰を持っていますか？,イスラム教,religion,ムハンマド・イクバール,イスラム教,4670,2,4670_2
オマール・ボンゴ・オンディンバの宗教的信念は何ですか？,イスラム教,religion,オマール・ボンゴ・オンディンバ,イスラム教,4671,1,4671_1
ニコラウス5世はどの信仰を持っていますか？,キリスト教,religion,ニコラウス5世,キリスト教,4672,2,4672_2
ルーホッラー・ホメイニーはどの宗教に所属していますか？,イスラム教,religion,ルーホッラー・ホメイニー,イスラム教,4673,0,4673_0
ボニファティウス8世はどの宗教に所属していますか？,キリスト教,religion,ボニファティウス8世,キリスト教,4674,0,4674_0
アーイシャが行っている宗教は何ですか？,イスラム教,religion,アーイシャ,イスラム教,4675,3,4675_3
龍樹が関与している宗教はどれですか？,仏教,religion,龍樹,仏教,4676,4,4676_4
フサイン・イブン・アリーはどの信仰を持っていますか？,イスラム教,religion,フサイン・イブン・アリー,イスラム教,4677,2,4677_2
ブラフマンはどの宗教に所属していますか？,ヒンドゥー教,religion,ブラフマン,ヒンドゥー教,4678,0,4678_0
サラーフッディーンはどの信仰を持っていますか？,イスラム教,religion,サラーフッディーン,イスラム教,4679,2,4679_2
カトリック教会はどの信仰を持っていますか？,カトリシズム,religion,カトリック教会,カトリシズム,4680,2,4680_2
テーオドール・ヘルツルはどの宗教に所属していますか？,ユダヤ教,religion,テーオドール・ヘルツル,ユダヤ教,4681,0,4681_0
クメール王朝の宗教的信念は何ですか？,ヒンドゥー教,religion,クメール王朝,ヒンドゥー教,4682,1,4682_1
アブドゥルアズィーズ・イブン・サウードはどの宗教に所属していますか？,イスラム教,religion,アブドゥルアズィーズ・イブン・サウード,イスラム教,4683,0,4683_0
ホスニー・ムバーラクの宗教的信念は何ですか？,イスラム教,religion,ホスニー・ムバーラク,イスラム教,4684,1,4684_1
シルウェステル1世の宗教的信念は何ですか？,キリスト教,religion,シルウェステル1世,キリスト教,4685,1,4685_1
マイケル・ブルームバーグが関与している宗教はどれですか？,ユダヤ教,religion,マイケル・ブルームバーグ,ユダヤ教,4686,4,4686_4
アリー・イブン・アビー・ターリブはどの宗教に所属していますか？,イスラム教,religion,アリー・イブン・アビー・ターリブ,イスラム教,4687,0,4687_0
ドク・ウマロフはどの宗教に所属していますか？,イスラム教,religion,ドク・ウマロフ,イスラム教,4688,0,4688_0
ムハンマド・アリーはどの宗教に所属していますか？,イスラム教,religion,ムハンマド・アリー,イスラム教,4689,0,4689_0
リチャード1世はどの宗教に所属していますか？,キリスト教,religion,リチャード1世,キリスト教,4690,0,4690_0
ウスマーン・イブン・アッファーンはどの信仰を持っていますか？,イスラム教,religion,ウスマーン・イブン・アッファーン,イスラム教,4691,2,4691_2
アリー・ハーメネイーが行っている宗教は何ですか？,イスラム教,religion,アリー・ハーメネイー,イスラム教,4692,3,4692_3
トム・クルーズはどの宗教に所属していますか？,サイエントロジー,religion,トム・クルーズ,サイエントロジー,4693,0,4693_0
マハトマ・ガンディーが関与している宗教はどれですか？,ヒンドゥー教,religion,マハトマ・ガンディー,ヒンドゥー教,4694,4,4694_4
ハーミド・カルザイはどの信仰を持っていますか？,イスラム教,religion,ハーミド・カルザイ,イスラム教,4695,2,4695_2
アルベルト・シュバイツァーはどの信仰を持っていますか？,キリスト教,religion,アルベルト・シュバイツァー,キリスト教,4696,2,4696_2
スカルノが関与している宗教はどれですか？,イスラム教,religion,スカルノ,イスラム教,4697,4,4697_4
スハルトの宗教的信念は何ですか？,イスラム教,religion,スハルト,イスラム教,4698,1,4698_1
アイス・キューブはどの宗教に所属していますか？,イスラム教,religion,アイス・キューブ,イスラム教,4699,0,4699_0
カルロスが関与している宗教はどれですか？,イスラム教,religion,カルロス,イスラム教,4700,4,4700_4
マアムーンはどの宗教に所属していますか？,イスラム教,religion,マアムーン,イスラム教,4701,0,4701_0
ファーティマが関与している宗教はどれですか？,イスラム教,religion,ファーティマ,イスラム教,4702,4,4702_4
ムハンマド・アリー・ジンナーの宗教的信念は何ですか？,イスラム教,religion,ムハンマド・アリー・ジンナー,イスラム教,4703,1,4703_1
ベトナム共和国の宗教的信念は何ですか？,仏教,religion,ベトナム共和国,仏教,4704,1,4704_1
アブデュルハミト2世はどの信仰を持っていますか？,イスラム教,religion,アブデュルハミト2世,イスラム教,4705,2,4705_2
