question,answer,language,q_id,cooc_num_pairs,cooc_total_pairs,cooc_coverage_ratio,cooc_unseen_keywords_count,cooc_unseen_keywords_ratio,cooc_avg_pmi,cooc_max_pmi,cooc_min_pmi,cooc_std_pmi
In which country was AFN Bremerhaven located?,Germany,en,33,5,10.0,0.5,0,0.0,-2.1659168298501106,-0.43446992827628217,-3.4645148708439595,0.9748609200796325
Dans quel pays se trouvait l'AFN Bremerhaven ?,Allemagne,fr,33,5,10.0,0.5,0,0.0,-1.2375279740863458,0.9477646180800868,-2.6316979796932376,1.1925215730472125
באיזו מדינה הייתה ממוקמת AFN ברמרהאפן?,גרמניה,he,33,10,21.0,0.47619047619047616,2,0.2857142857142857,-1.6566882723738126,-0.370753460271118,-2.9282368536787207,0.7723896130793021
AFN 不来梅哈芬 (AFN Bremerhaven) 位于哪个国家？,德国,zh,33,8,28.0,0.2857142857142857,2,0.25,-0.7455591210386228,7.629312561744532,-2.3809373802868956,3.17816743931995
In welchem Land befand sich AFN Bremerhaven?,Deutschland,de,33,5,10.0,0.5,0,0.0,-1.9666122733012852,-1.0120893160103897,-2.595184839536732,0.5557363950097747
¿En qué país estaba ubicado AFN Bremerhaven?,Alemania,es,33,7,15.0,0.4666666666666667,0,0.0,-1.9901176616736787,-1.4940516303211993,-2.8595266253279434,0.4705773873417874
AFN Bremerhaven किस देश में स्थित था?,जर्मनी,hi,33,6,15.0,0.4,2,0.3333333333333333,-1.941315400513061,-0.8365114365939388,-4.01889309069783,1.0083783801706847
Di negara mana AFN Bremerhaven berlokasi?,Jerman,id,33,4,10.0,0.4,0,0.0,-1.1688345773696522,1.3534088832764881,-2.495917971953609,1.4978094723808588
In quale paese si trovava AFN Bremerhaven?,Germania,it,33,7,15.0,0.4666666666666667,1,0.16666666666666666,-1.2376480218831662,0.1313241967699028,-2.7702626049936816,0.8240506082836265
AFNブレーマーハーフェンはどの国にありましたか？,ドイツ,ja,33,39,55.0,0.7090909090909091,1,0.09090909090909091,-0.7564666243433659,0.443386427094623,-1.9552349195621013,0.5140586283439802
AFN 브레머하펜은 어느 나라에 있었나요?,독일,ko,33,4,15.0,0.26666666666666666,2,0.3333333333333333,-2.066403343284647,-0.4089375707505198,-4.0997672304382595,1.655173120764025
Em qual país a AFN Bremerhaven estava localizada?,Alemanha,pt,33,7,15.0,0.4666666666666667,0,0.0,-1.4877853995857948,1.4058556019789872,-3.0844619559760527,1.3138196274371727
What was the position of August Joseph Donatelli's plane during World War II when it was shot down?,Tailgunner,en,30,91,120.0,0.7583333333333333,2,0.125,-0.8414375529583146,2.00215011371559,-1.9651216710775006,0.6223031701665152
Quelle était la position de l'avion d'August Joseph Donatelli pendant la Seconde Guerre mondiale lorsqu'il a été abattu ?,Mitrailleur de queue,fr,30,143,171.0,0.8362573099415205,1,0.05263157894736842,-0.39625679058354524,5.549038952623143,-2.359058802508802,1.0479170331644336
איזה תפקיד מילא אוגוסט ג'וזף דונאטלי במטוס שלו שהופל במהלך מלחמת העולם השנייה?,מקלען זנב,he,30,67,105.0,0.638095238095238,1,0.06666666666666667,-1.5255975943151394,3.3924595092284737,-5.1426024205934855,1.398379245922817
二战期间，奥古斯特·约瑟夫·多纳泰利 (August Joseph Donatelli) 的飞机是在什么位置被击落的？,尾炮手,zh,30,84,171.0,0.49122807017543857,1,0.05263157894736842,-0.4140760584130788,7.286977078239064,-2.1947488124619206,1.2955128161300118
"Welche Position hatte August Joseph Donatelli im Flugzeug während des Zweiten Weltkriegs, als es abgeschossen wurde?",Heckschütze,de,30,84,120.0,0.7,2,0.125,-0.6587104905659074,3.2633148184163967,-2.1607048339282966,0.8243268065933339
¿Cuál era la posición del avión de August Joseph Donatelli durante la Segunda Guerra Mundial cuando fue derribado?,Artillero de cola,es,30,93,120.0,0.775,1,0.0625,-1.1940028548786175,2.423377700168927,-3.3657366657495187,0.8853198553970643
द्वितीय विश्व युद्ध के दौरान ऑगस्ट जोसेफ़ डोनाटेली का हवाई जहाज़ किस जगह पर मार गिराया गया था?,टेलगनर,hi,30,101,153.0,0.6601307189542484,2,0.1111111111111111,-0.27470272651358923,4.552772400566223,-3.7625575927659187,1.1418521163985913
Apa posisi pesawat August Joseph Donatelli pada Perang Dunia II saat ditembak jatuh?,Penembak ekor,id,30,88,105.0,0.8380952380952381,0,0.0,-1.1598491828741917,3.437825979894036,-3.5137847297895894,1.03551515662616
Qual era la posizione dell'aereo di August Joseph Donatelli durante la seconda guerra mondiale quando è stato abbattuto?,Mitragliere di coda,it,30,121,153.0,0.7908496732026143,0,0.0,-0.6749948092848771,2.8083386836351605,-2.594042473769649,0.7973538089597589
第二次世界大戦で撃墜されたとき、オーガスト・ジョセフ・ドナテリの搭乗機のポジションは何でしたか？,尾部銃手,ja,30,237,300.0,0.79,1,0.04,-0.47479632821667067,3.5746437611075548,-3.9309848439392696,0.9747353316479513
제2차 세계 대전 당시 오거스트 조셉 도나텔리의 비행기가 격추되었을 때 비행기 위치는 어디였습니까?,꼬리포수,ko,30,34,105.0,0.3238095238095238,5,0.3333333333333333,-1.4042342108087114,2.613187503808189,-3.053599932773723,1.1215379472056095
Qual era a posição do avião de August Joseph Donatelli durante a Segunda Guerra Mundial quando foi abatido?,Artilheiro traseiro,pt,30,80,105.0,0.7619047619047619,0,0.0,-1.2047222889020799,2.44304506861984,-4.55072377446571,0.9456446807116647
