q_id,language,keywords
33,en,country afn bremerhaven located germany
33,fr,pays trouvait afn bremerhaven allemagne
33,he,באיזו מדינה הייתה ממוקמת ברמרהאפן גרמניה afn
33,zh,不来梅 哈芬 位于 哪个 国家 德国 afn bremerhaven
33,de,land befand afn bremerhaven deutschland
33,es,país estaba ubicado afn bremerhaven alemania
33,hi,किस देश स्थित जर्मनी afn bremerhaven
33,id,negara afn bremerhaven berlokasi jerman
33,it,paese si trovava afn bremerhaven germania
33,ja,ブレーマーハーフェン は どの 国 に あり まし た か ドイツ afn
33,ko,브레머하펜은 어느 나라에 있었나요? 독일 afn
33,pt,país afn bremerhaven estava localizada alemanha
30,en,what position august joseph donatelli s plane during world war ii when it shot down tailgunner
30,fr,quelle était position avion d august joseph donatelli pendant seconde guerre mondiale lorsqu il a été abattu mitrailleur queue
30,he,איזה תפקיד מילא אוגוסט וזף דונאטלי במטוס שלו שהופל במהלך מלחמת העולם השנייה מקלען זנב
30,zh,二战 期间 奥古斯特 约瑟夫 多纳 泰利 的 飞机 是 在 什么 位置 被 击落 尾 炮手 august joseph donatelli
30,de,welche position hatte august joseph donatelli flugzeug während des zweiten weltkriegs als es abgeschossen wurde heckschütze
30,es,cuál era posición avión august joseph donatelli durante segunda guerra mundial cuando fue derribado artillero cola
30,hi,द्वितीय विश्व युद्ध के दौरान ऑगस्ट जोसेफ़ डोनाटेली का हवाई जहाज़ किस जगह पर मार गिराया गया टेलगनर
30,id,apa posisi pesawat august joseph donatelli pada perang dunia ii saat ditembak jatuh penembak ekor
30,it,qual era posizione dell aereo august joseph donatelli durante seconda guerra mondiale quando è stato abbattuto mitragliere coda
30,ja,第 二 次 世界 大戦 で 撃墜 さ れ た とき オーガスト ・ ジョセフ ドナテリ の 搭乗 機 ポジション は 何 でし か 尾部 銃手
30,ko,제2차 세계 대전 당시 오거스트 조셉 도나텔리의 비행기가 격추되었을 때 비행기 위치는 어디였습니까? 꼬리포수 2
30,pt,era posição avião august joseph donatelli durante segunda guerra mundial quando foi abatido artilheiro traseiro
55,en,what television network that aired greatest canadian invention cbc
55,fr,quelle chaîne télévision a diffusé émission the greatest canadian invention cbc television
55,he,איזו רשת טלוויזיה שידרה את הסדרה the greatest canadian invention cbc
55,zh,最 伟大 的 加拿大 发明 是 由 哪家 电视 网络 播出 广播公司 电视台 the greatest canadian invention
55,de,welcher fernsehsender strahlte größte kanadische erfindung aus cbc television
55,es,cuál fue cadena televisión emitió the greatest canadian invention cbc television
55,hi,ग्रेटेस्ट कनेडियन इन्वेंशन को किस टेलीविजन नेटवर्क ने प्रसारित किया सीबीसी
55,id,jaringan televisi apa menayangkan the greatest canadian invention cbc television
55,it,rete televisiva ha trasmesso più grande invenzione canadese cbc television
55,ja,グレイ テスト ・ カナディアン インベンション を 放送 し た テレビ局 は 何 です か cbcテレビ cbc
55,ko,위대한 캐나다 발명품을 방영한 텔레비전 네트워크는 어디입니까? cbc
55,pt,estação televisão transmitiu maior invenção canadiana cbc television
39,en,since decade did bowl games start counting toward single season career statistics 2000s
39,fr,cours quelle décennie bowl games ont ils commencé à être pris compte statistiques saison carrière années 2000
39,he,באיזה עשור החלו משחקי קערה להיספר בסטטיסטיקה של עונה בודדת וקריירה שנות 2000
39,zh,从 哪个 年代 开始 碗赛 计入 单 赛季 和 职业生涯 统计 2000
39,de,ab jahrzehnt wurden bowl spiele statistiken für einzelne saisons karrieren einbezogen 2000er
39,es,desde década comenzaron a contar juegos tazón para estadísticas sola temporada carrera 2000
39,hi,बाउल गेम को किस दशक से सिंगल सीज़न करियर के आंकड़ों गिना जाने लगा का 2000
39,id,sejak dekade manakah pertandingan bowl mulai dihitung dalam statistik musim tunggal karir 2000 an
39,it,da decennio bowl game hanno iniziato a contare per statistiche singola stagione carriera anni 2000
39,ja,ボウル ゲーム が シーズン および キャリア の 統計 に カウント さ れる よう なっ た は どの 年代 から です か 年 代 1 2000
39,ko,볼 게임은 몇 년대부터 단일 시즌 및 커리어 통계에 포함되기 시작했습니까? 2000년대 2000
39,pt,década jogos bowl começaram contar para estatísticas temporada única carreira 2000
63,en,what original name entebbe general hospital grade b
63,fr,est nom d origine hôpital général entebbe catégorie b
63,he,איך נקרא במקור בית החולים הכללי באנטבה אנטבה דרגה
63,zh,恩德培 综合 医院 的 原名 是 什么 级 b
63,de,wie lautete ursprüngliche name des allgemeinen krankenhauses entebbe krankenhaus stufe b
63,es,cuál es nombre original hospital general entebbe grado b
63,hi,एंटेबे जनरल अस्पताल का मूल नाम क्या है ग्रेड बी
63,id,apa nama asli rumah sakit umum entebbe kelas b
63,it,qual è nome originale dell ospedale generale entebbe grado b
63,ja,エンテベ 総合 病院 の 元 名称 は 何 です か グレード b
63,ko,엔테베 종합병원의 원래 이름은 무엇입니까? b등급 병원 b
63,pt,era nome original hospital geral entebbe grau b
56,en,what name university detroit s halfback 1929 football season lloyd brazil
56,fr,était nom demi arrière université détroit lors saison football 1929 lloyd brazil
56,he,מה היה שמו של הרץ האחורי אוניברסיטת דטרויט בעונת הפוטבול לויד ברזיל 1929
56,zh,年 橄榄球 赛季 中 底特律 大学 的 中卫 叫 什么 名字 劳埃德 布 拉齐 尔 1929
56,de,wie hieß halfback university of detroit football saison 1929 lloyd brazil
56,es,cuál era nombre corredor rápido universidad detroit temporada fútbol americano 1929 lloyd brazil
56,hi,साल के फ़ुटबॉल सीज़न डेट्रॉइट यूनिवर्सिटी हाफ़बैक का क्या नाम लॉयड ब्राजील 1929
56,id,siapa nama halfback university of detroit musim sepak bola 1929 lloyd brazil
56,it,chi era mediano dell università detroit nella stagione calcistica 1929 lloyd brazil
56,ja,年 シーズン の デトロイト 大学 ハーフバック 名前 は ロイド ・ ブラジル 1929
56,ko,1929년 풋볼 시즌 디트로이트 대학교의 하프백 이름은 무엇입니까? 로이드 브라질 1929
56,pt,era nome halfback universidade detroit na temporada futebol americano 1929 lloyd brazil
42,en,what original name flood modeller software isis
42,fr,était nom d origine logiciel flood modeller isis
42,he,מה היה השם המקורי של תוכנת flood modeller isis
42,zh,软件 的 原名 是 什么 flood modeller isis
42,de,wie hieß flood modeller software ursprünglich isis
42,es,cuál es nombre original software flood modeller isis
42,hi,फ़्लड मॉडलर सॉफ़्टवेयर का मूल नाम क्या है आईएसआईएस
42,id,apa nama asli perangkat lunak flood modeller isis
42,it,qual era nome originale software flood modeller isis
42,ja,フラッド モデラー の ソフトウェア 元 名前 は isis
