question,answer,relation,subject,object,q_index,prompt_id,q_id
איזה כלי נגינה נט קינג קול מנגן?,פסנתר,instrument,נט קינג קול,פסנתר,4757,0,4757_0
איזה כלי נגינה מנגן נט קינג קול?,פסנתר,instrument,נט קינג קול,פסנתר,4757,1,4757_1
מה נט קינג קול משתמש כדי ליצור מוזיקה?,פסנתר,instrument,נט קינג קול,פסנתר,4757,2,4757_2
באיזה כלי נט קינג קול ידוע כנגן?,פסנתר,instrument,נט קינג קול,פסנתר,4757,3,4757_3
באיזה כלי מוזיקלי נט קינג קול מיומן?,פסנתר,instrument,נט קינג קול,פסנתר,4757,4,4757_4
איזה כלי נגינה ג'ימי פייג' מנגן?,כינור,instrument,ג'ימי פייג',כינור,4758,0,4758_0
איזה כלי נגינה מנגן ג'ימי פייג'?,כינור,instrument,ג'ימי פייג',כינור,4758,1,4758_1
מה ג'ימי פייג' משתמש כדי ליצור מוזיקה?,כינור,instrument,ג'ימי פייג',כינור,4758,2,4758_2
באיזה כלי ג'ימי פייג' ידוע כנגן?,כינור,instrument,ג'ימי פייג',כינור,4758,3,4758_3
באיזה כלי מוזיקלי ג'ימי פייג' מיומן?,כינור,instrument,ג'ימי פייג',כינור,4758,4,4758_4
איזה כלי נגינה ניל יאנג מנגן?,מפוחית פה,instrument,ניל יאנג,מפוחית פה,4759,0,4759_0
איזה כלי נגינה מנגן ניל יאנג?,מפוחית פה,instrument,ניל יאנג,מפוחית פה,4759,1,4759_1
מה ניל יאנג משתמש כדי ליצור מוזיקה?,מפוחית פה,instrument,ניל יאנג,מפוחית פה,4759,2,4759_2
באיזה כלי ניל יאנג ידוע כנגן?,מפוחית פה,instrument,ניל יאנג,מפוחית פה,4759,3,4759_3
באיזה כלי מוזיקלי ניל יאנג מיומן?,מפוחית פה,instrument,ניל יאנג,מפוחית פה,4759,4,4759_4
איזה כלי נגינה אריתה פרנקלין מנגן?,פסנתר,instrument,אריתה פרנקלין,פסנתר,4760,0,4760_0
איזה כלי נגינה מנגן אריתה פרנקלין?,פסנתר,instrument,אריתה פרנקלין,פסנתר,4760,1,4760_1
מה אריתה פרנקלין משתמש כדי ליצור מוזיקה?,פסנתר,instrument,אריתה פרנקלין,פסנתר,4760,2,4760_2
באיזה כלי אריתה פרנקלין ידוע כנגן?,פסנתר,instrument,אריתה פרנקלין,פסנתר,4760,3,4760_3
באיזה כלי מוזיקלי אריתה פרנקלין מיומן?,פסנתר,instrument,אריתה פרנקלין,פסנתר,4760,4,4760_4
איזה כלי נגינה ליאונרד ברנשטיין מנגן?,פסנתר,instrument,ליאונרד ברנשטיין,פסנתר,4761,0,4761_0
איזה כלי נגינה מנגן ליאונרד ברנשטיין?,פסנתר,instrument,ליאונרד ברנשטיין,פסנתר,4761,1,4761_1
מה ליאונרד ברנשטיין משתמש כדי ליצור מוזיקה?,פסנתר,instrument,ליאונרד ברנשטיין,פסנתר,4761,2,4761_2
באיזה כלי ליאונרד ברנשטיין ידוע כנגן?,פסנתר,instrument,ליאונרד ברנשטיין,פסנתר,4761,3,4761_3
באיזה כלי מוזיקלי ליאונרד ברנשטיין מיומן?,פסנתר,instrument,ליאונרד ברנשטיין,פסנתר,4761,4,4761_4
איזה כלי נגינה אריק קלפטון מנגן?,כינור,instrument,אריק קלפטון,כינור,4762,0,4762_0
איזה כלי נגינה מנגן אריק קלפטון?,כינור,instrument,אריק קלפטון,כינור,4762,1,4762_1
מה אריק קלפטון משתמש כדי ליצור מוזיקה?,כינור,instrument,אריק קלפטון,כינור,4762,2,4762_2
באיזה כלי אריק קלפטון ידוע כנגן?,כינור,instrument,אריק קלפטון,כינור,4762,3,4762_3
באיזה כלי מוזיקלי אריק קלפטון מיומן?,כינור,instrument,אריק קלפטון,כינור,4762,4,4762_4
איזה כלי נגינה עמנואל שברייה מנגן?,פסנתר,instrument,עמנואל שברייה,פסנתר,4763,0,4763_0
איזה כלי נגינה מנגן עמנואל שברייה?,פסנתר,instrument,עמנואל שברייה,פסנתר,4763,1,4763_1
מה עמנואל שברייה משתמש כדי ליצור מוזיקה?,פסנתר,instrument,עמנואל שברייה,פסנתר,4763,2,4763_2
באיזה כלי עמנואל שברייה ידוע כנגן?,פסנתר,instrument,עמנואל שברייה,פסנתר,4763,3,4763_3
באיזה כלי מוזיקלי עמנואל שברייה מיומן?,פסנתר,instrument,עמנואל שברייה,פסנתר,4763,4,4763_4
איזה כלי נגינה סרז' גינסבורג מנגן?,גיטרה,instrument,סרז' גינסבורג,גיטרה,4764,0,4764_0
איזה כלי נגינה מנגן סרז' גינסבורג?,גיטרה,instrument,סרז' גינסבורג,גיטרה,4764,1,4764_1
מה סרז' גינסבורג משתמש כדי ליצור מוזיקה?,גיטרה,instrument,סרז' גינסבורג,גיטרה,4764,2,4764_2
באיזה כלי סרז' גינסבורג ידוע כנגן?,גיטרה,instrument,סרז' גינסבורג,גיטרה,4764,3,4764_3
באיזה כלי מוזיקלי סרז' גינסבורג מיומן?,גיטרה,instrument,סרז' גינסבורג,גיטרה,4764,4,4764_4
איזה כלי נגינה אדוורד גריג מנגן?,פסנתר,instrument,אדוורד גריג,פסנתר,4765,0,4765_0
איזה כלי נגינה מנגן אדוורד גריג?,פסנתר,instrument,אדוורד גריג,פסנתר,4765,1,4765_1
מה אדוורד גריג משתמש כדי ליצור מוזיקה?,פסנתר,instrument,אדוורד גריג,פסנתר,4765,2,4765_2
באיזה כלי אדוורד גריג ידוע כנגן?,פסנתר,instrument,אדוורד גריג,פסנתר,4765,3,4765_3
באיזה כלי מוזיקלי אדוורד גריג מיומן?,פסנתר,instrument,אדוורד גריג,פסנתר,4765,4,4765_4
איזה כלי נגינה יצחק פרלמן מנגן?,כינור,instrument,יצחק פרלמן,כינור,4766,0,4766_0
איזה כלי נגינה מנגן יצחק פרלמן?,כינור,instrument,יצחק פרלמן,כינור,4766,1,4766_1
מה יצחק פרלמן משתמש כדי ליצור מוזיקה?,כינור,instrument,יצחק פרלמן,כינור,4766,2,4766_2
באיזה כלי יצחק פרלמן ידוע כנגן?,כינור,instrument,יצחק פרלמן,כינור,4766,3,4766_3
באיזה כלי מוזיקלי יצחק פרלמן מיומן?,כינור,instrument,יצחק פרלמן,כינור,4766,4,4766_4
איזה כלי נגינה ג'ורג' מרטין מנגן?,פסנתר,instrument,ג'ורג' מרטין,פסנתר,4767,0,4767_0
