question,answer,relation,subject,object,q_index,prompt_id,q_id
Which musical instrument is played by Nat King Cole?,piano,instrument,Nat King Cole,piano,4757,1,4757_1
Which instrument is Jimmy Page known for playing?,violin,instrument,Jimmy Page,violin,4758,3,4758_3
Which musical instrument is played by Neil Young?,harmonica,instrument,Neil Young,harmonica,4759,1,4759_1
What instrument does Aretha Franklin play?,piano,instrument,Aretha Franklin,piano,4760,0,4760_0
What instrument does Leonard Bernstein play?,piano,instrument,Leonard Bernstein,piano,4761,0,4761_0
What musical tool is Eric Clapton skilled at?,violin,instrument,Eric Clapton,violin,4762,4,4762_4
What does Emmanuel Chabrier use to create music?,piano,instrument,Emmanuel Chabrier,piano,4763,2,4763_2
Which musical instrument is played by Serge Gainsbourg?,guitar,instrument,Serge Gainsbourg,guitar,4764,1,4764_1
What instrument does Edvard Grieg play?,piano,instrument,Edvard Grieg,piano,4765,0,4765_0
What instrument does Itzhak Perlman play?,violin,instrument,Itzhak Perlman,violin,4766,0,4766_0
What instrument does George Martin play?,piano,instrument,George Martin,piano,4767,0,4767_0
Which musical instrument is played by Bob Dylan?,harmonica,instrument,Bob Dylan,harmonica,4768,1,4768_1
Which instrument is Mike Shinoda known for playing?,guitar,instrument,Mike Shinoda,guitar,4769,3,4769_3
What musical tool is Jared Leto skilled at?,guitar,instrument,Jared Leto,guitar,4770,4,4770_4
What does Wolfgang Amadeus Mozart use to create music?,viola,instrument,Wolfgang Amadeus Mozart,viola,4771,2,4771_2
What instrument does Philip Glass play?,piano,instrument,Philip Glass,piano,4772,0,4772_0
Which musical instrument is played by Giuseppe Tartini?,violin,instrument,Giuseppe Tartini,violin,4773,1,4773_1
What musical tool is Francis Poulenc skilled at?,piano,instrument,Francis Poulenc,piano,4774,4,4774_4
What instrument does Brad Delson play?,guitar,instrument,Brad Delson,guitar,4775,0,4775_0
What does Lady Gaga use to create music?,piano,instrument,Lady Gaga,piano,4776,2,4776_2
What instrument does Elvis Presley play?,guitar,instrument,Elvis Presley,guitar,4777,0,4777_0
